customer_id,recency_days,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,RFM_total,segment
CUST00076,14,13,1322.42,101.72,4,4,5,445,13,Champions
CUST00077,14,2,234.26999999999998,117.14,4,1,2,412,7,New Customers
CUST00079,43,24,1429.37,59.56,2,5,5,255,12,At Risk
CUST00080,201,2,120.5,60.25,1,1,2,112,4,Hibernating
CUST00081,1,11,726.0699999999999,66.01,5,4,4,544,13,Champions
CUST00083,29,3,184.13,61.38,3,2,2,322,7,Promising
CUST00084,30,3,122.80000000000001,40.93,3,2,2,322,7,Promising
CUST00086,21,4,139.84,34.96,4,2,2,422,8,New Customers
CUST00087,4,17,877.12,51.6,5,5,5,555,15,Champions
CUST00088,24,45,3257.12,72.38,3,5,5,355,13,Loyal Customers
CUST00089,474,1,19.65,19.65,1,1,1,111,3,Hibernating
CUST00090,17,4,215.28,53.82,4,2,2,422,8,New Customers
CUST00091,10,10,331.9,33.19,4,4,3,443,11,Loyal Customers
CUST00092,3,5,222.92000000000002,44.58,5,2,2,522,9,New Customers
CUST00094,49,6,267.3,44.55,2,3,3,233,8,At Risk
CUST00095,85,12,718.44,59.87,2,4,4,244,10,At Risk
CUST00096,63,14,864.77,61.77,2,4,5,245,11,At Risk
CUST00097,9,26,1663.94,64.0,5,5,5,555,15,Champions
CUST00098,46,8,479.31,59.91,2,3,4,234,9,At Risk
CUST00099,24,1,23.82,23.82,3,1,1,311,5,Promising
CUST00100,40,9,535.66,59.52,3,4,4,344,11,Loyal Customers
CUST00101,41,6,353.12,58.85,3,3,3,333,9,Loyal Customers
CUST00102,59,15,848.18,56.55,2,5,5,255,12,At Risk
CUST00103,38,7,247.77,35.4,3,3,3,333,9,Loyal Customers
CUST00104,1,5,264.23,52.85,5,2,3,523,10,New Customers
CUST00105,116,14,755.19,53.94,1,4,4,144,9,At Risk
CUST00106,83,1,41.3,41.3,2,1,1,211,4,Hibernating
CUST00107,94,11,518.86,47.17,1,4,4,144,9,At Risk
CUST00108,31,17,1449.3600000000001,85.26,3,5,5,355,13,Loyal Customers
CUST00110,25,11,559.3199999999999,50.85,3,4,4,344,11,Loyal Customers
CUST00111,23,1,83.87,83.87,4,1,1,411,6,New Customers
CUST00112,23,19,987.5799999999999,51.98,4,5,5,455,14,Champions
CUST00113,249,2,77.24000000000001,38.62,1,1,1,111,3,Hibernating
CUST00114,44,10,636.62,63.66,2,4,4,244,10,At Risk
CUST00115,29,2,109.58,54.79,3,1,2,312,6,Promising
CUST00116,38,16,763.08,47.69,3,5,4,354,12,Loyal Customers
CUST00117,24,2,74.5,37.25,3,1,1,311,5,Promising
CUST00118,40,3,95.23,31.74,3,2,1,321,6,Promising
CUST00119,9,1,47.65,47.65,5,1,1,511,7,New Customers
CUST00120,51,3,139.26,46.42,2,2,2,222,6,Hibernating
CUST00121,8,3,341.28,113.76,5,2,3,523,10,New Customers
CUST00122,12,6,366.02,61.0,4,3,3,433,10,Loyal Customers
CUST00123,34,13,887.27,68.25,3,4,5,345,12,Loyal Customers
CUST00124,1,3,130.16,43.39,5,2,2,522,9,New Customers
CUST00125,205,5,128.01,25.6,1,2,2,122,5,Hibernating
CUST00126,3,4,163.14999999999998,40.79,5,2,2,522,9,New Customers
CUST00127,64,2,117.62,58.81,2,1,2,212,5,Hibernating
CUST00128,35,19,1689.97,88.95,3,5,5,355,13,Loyal Customers
CUST00129,18,1,36.66,36.66,4,1,1,411,6,New Customers
CUST00130,20,11,797.63,72.51,4,4,4,444,12,Champions
CUST00131,80,4,172.10999999999999,43.03,2,2,2,222,6,Hibernating
CUST00132,46,4,239.26999999999998,59.82,2,2,2,222,6,Hibernating
CUST00133,37,5,102.92,20.58,3,2,1,321,6,Promising
CUST00136,7,5,163.95,32.79,5,2,2,522,9,New Customers
CUST00137,57,2,109.47999999999999,54.74,2,1,2,212,5,Hibernating
CUST00138,1,22,1626.8,73.95,5,5,5,555,15,Champions
CUST00139,31,35,2461.46,70.33,3,5,5,355,13,Loyal Customers
CUST00140,17,6,267.34,44.56,4,3,3,433,10,Loyal Customers
CUST00143,41,1,103.56,103.56,3,1,1,311,5,Promising
CUST00144,25,16,834.79,52.17,3,5,5,355,13,Loyal Customers
CUST00146,3,9,375.55,41.73,5,4,3,543,12,Loyal Customers
CUST00147,28,2,56.76,28.38,3,1,1,311,5,Promising
CUST00148,7,20,1182.22,59.11,5,5,5,555,15,Champions
CUST00149,16,15,789.06,52.6,4,5,4,454,13,Champions
CUST00150,50,1,75.94,75.94,2,1,1,211,4,Hibernating
CUST00151,45,1,51.02,51.02,2,1,1,211,4,Hibernating
CUST00152,71,10,420.06,42.01,2,4,4,244,10,At Risk
CUST00153,136,1,65.43,65.43,1,1,1,111,3,Hibernating
CUST00154,3,4,146.55,36.64,5,2,2,522,9,New Customers
CUST00155,9,23,1928.84,83.86,5,5,5,555,15,Champions
CUST00156,6,1,179.02,179.02,5,1,2,512,8,New Customers
CUST00157,8,8,387.95,48.49,5,3,3,533,11,Loyal Customers
CUST00158,5,10,511.99,51.2,5,4,4,544,13,Champions
CUST00159,7,7,480.15999999999997,68.59,5,3,4,534,12,Loyal Customers
CUST00160,3,1,47.62,47.62,5,1,1,511,7,New Customers
CUST00161,49,1,20.69,20.69,2,1,1,211,4,Hibernating
CUST00162,13,3,182.5,60.83,4,2,2,422,8,New Customers
CUST00163,50,4,195.76,48.94,2,2,2,222,6,Hibernating
CUST00164,8,16,1083.78,67.74,5,5,5,555,15,Champions
CUST00165,1,4,189.07,47.27,5,2,2,522,9,New Customers
CUST00166,108,5,228.93,45.79,1,2,2,122,5,Hibernating
CUST00168,282,5,276.98,55.4,1,2,3,123,6,Lost
CUST00169,38,40,3134.84,78.37,3,5,5,355,13,Loyal Customers
CUST00170,32,12,515.3,42.94,3,4,4,344,11,Loyal Customers
CUST00172,5,9,402.95,44.77,5,4,3,543,12,Loyal Customers
CUST00175,58,11,517.26,47.02,2,4,4,244,10,At Risk
CUST00176,3,25,1977.77,79.11,5,5,5,555,15,Champions
CUST00177,12,18,1356.57,75.36,4,5,5,455,14,Champions
CUST00178,2,12,613.84,51.15,5,4,4,544,13,Champions
CUST00179,37,3,106.82,35.61,3,2,2,322,7,Promising
CUST00180,4,26,1350.02,51.92,5,5,5,555,15,Champions
CUST00181,138,30,2119.88,70.66,1,5,5,155,11,At Risk
CUST00182,48,11,587.73,53.43,2,4,4,244,10,At Risk
CUST00183,36,2,91.6,45.8,3,1,1,311,5,Promising
CUST00185,38,33,2359.28,71.49,3,5,5,355,13,Loyal Customers
CUST00186,1,10,374.21999999999997,37.42,5,4,3,543,12,Loyal Customers
CUST00187,81,16,802.22,50.14,2,5,4,254,11,At Risk
CUST00188,9,7,336.94,48.13,5,3,3,533,11,Loyal Customers
CUST00189,3,26,1827.72,70.3,5,5,5,555,15,Champions
CUST00190,114,6,340.97,56.83,1,3,3,133,7,At Risk
CUST00191,9,25,1633.35,65.33,5,5,5,555,15,Champions
CUST00192,32,12,484.9,40.41,3,4,4,344,11,Loyal Customers
CUST00193,16,25,1492.83,59.71,4,5,5,455,14,Champions
CUST00194,21,4,221.11,55.28,4,2,2,422,8,New Customers
CUST00195,242,1,75.36,75.36,1,1,1,111,3,Hibernating
CUST00196,38,22,1664.58,75.66,3,5,5,355,13,Loyal Customers
CUST00197,3,4,121.97,30.49,5,2,2,522,9,New Customers
CUST00198,31,9,405.49,45.05,3,4,3,343,10,Loyal Customers
CUST00199,56,5,301.36,60.27,2,2,3,223,7,Others
CUST00200,31,30,1973.82,65.79,3,5,5,355,13,Loyal Customers
CUST00201,4,15,694.0600000000001,46.27,5,5,4,554,14,Champions
CUST00202,22,6,446.54999999999995,74.42,4,3,4,434,11,Loyal Customers
CUST00203,17,15,1343.53,89.57,4,5,5,455,14,Champions
CUST00204,9,28,1821.49,65.05,5,5,5,555,15,Champions
CUST00205,17,3,251.08999999999997,83.7,4,2,3,423,9,New Customers
CUST00206,17,15,953.27,63.55,4,5,5,455,14,Champions
CUST00207,170,1,9.66,9.66,1,1,1,111,3,Hibernating
CUST00208,1,7,240.96,34.42,5,3,2,532,10,Others
CUST00209,144,6,273.22,45.54,1,3,3,133,7,At Risk
CUST00210,59,11,588.01,53.46,2,4,4,244,10,At Risk
CUST00211,22,8,471.38,58.92,4,3,4,434,11,Loyal Customers
CUST00212,163,8,387.58,48.45,1,3,3,133,7,At Risk
CUST00213,137,12,737.21,61.43,1,4,4,144,9,At Risk
CUST00214,2,7,270.52,38.65,5,3,3,533,11,Loyal Customers
CUST00215,144,2,126.53,63.26,1,1,2,112,4,Hibernating
CUST00216,16,1,75.82,75.82,4,1,1,411,6,New Customers
CUST00219,14,15,1066.41,71.09,4,5,5,455,14,Champions
CUST00220,71,4,345.01,86.25,2,2,3,223,7,Others
CUST00221,42,12,578.09,48.17,3,4,4,344,11,Loyal Customers
CUST00222,50,4,158.23000000000002,39.56,2,2,2,222,6,Hibernating
CUST00223,35,1,49.52,49.52,3,1,1,311,5,Promising
CUST00224,22,9,456.82,50.76,4,4,4,444,12,Champions
CUST00225,6,16,814.5500000000001,50.91,5,5,4,554,14,Champions
CUST00226,13,5,214.07,42.81,4,2,2,422,8,New Customers
CUST00227,12,4,203.12,50.78,4,2,2,422,8,New Customers
CUST00228,20,6,252.79,42.13,4,3,3,433,10,Loyal Customers
CUST00229,227,6,318.2,53.03,1,3,3,133,7,At Risk
CUST00230,76,7,319.3,45.61,2,3,3,233,8,At Risk
CUST00231,26,1,89.04,89.04,3,1,1,311,5,Promising
CUST00232,104,3,173.76999999999998,57.92,1,2,2,122,5,Hibernating
CUST00233,31,19,1336.6,70.35,3,5,5,355,13,Loyal Customers
CUST00234,16,4,217.2,54.3,4,2,2,422,8,New Customers
CUST00235,18,7,379.64,54.23,4,3,3,433,10,Loyal Customers
CUST00236,157,2,69.92,34.96,1,1,1,111,3,Hibernating
CUST00237,25,4,139.0,34.75,3,2,2,322,7,Promising
CUST00238,49,5,177.38,35.48,2,2,2,222,6,Hibernating
CUST00239,26,8,262.16,32.77,3,3,3,333,9,Loyal Customers
CUST00241,3,22,1528.1799999999998,69.46,5,5,5,555,15,Champions
CUST00242,27,3,192.45,64.15,3,2,2,322,7,Promising
CUST00243,5,2,119.66,59.83,5,1,2,512,8,New Customers
CUST00244,109,6,190.06,31.68,1,3,2,132,6,Lost
CUST00245,161,1,110.91,110.91,1,1,2,112,4,Hibernating
CUST00246,6,1,27.83,27.83,5,1,1,511,7,New Customers
CUST00247,4,18,1004.0600000000001,55.78,5,5,5,555,15,Champions
CUST00248,44,3,232.02,77.34,2,2,2,222,6,Hibernating
CUST00249,45,24,1609.09,67.05,2,5,5,255,12,At Risk
CUST00251,160,10,487.05,48.7,1,4,4,144,9,At Risk
CUST00252,5,16,905.3,56.58,5,5,5,555,15,Champions
CUST00253,8,43,3061.89,71.21,5,5,5,555,15,Champions
CUST00254,120,3,204.07,68.02,1,2,2,122,5,Hibernating
CUST00255,82,3,129.99,43.33,2,2,2,222,6,Hibernating
CUST00256,5,1,116.24,116.24,5,1,2,512,8,New Customers
CUST00257,14,5,185.93,37.19,4,2,2,422,8,New Customers
CUST00258,21,4,269.95,67.49,4,2,3,423,9,New Customers
CUST00259,63,14,705.9200000000001,50.42,2,4,4,244,10,At Risk
CUST00260,100,6,308.23,51.37,1,3,3,133,7,At Risk
CUST00261,125,2,84.00999999999999,42.0,1,1,1,111,3,Hibernating
CUST00262,22,8,476.08,59.51,4,3,4,434,11,Loyal Customers
CUST00263,26,22,1503.63,68.35,3,5,5,355,13,Loyal Customers
CUST00264,14,9,538.41,59.82,4,4,4,444,12,Champions
CUST00265,42,20,1442.44,72.12,3,5,5,355,13,Loyal Customers
CUST00266,7,29,1998.8,68.92,5,5,5,555,15,Champions
CUST00267,27,7,294.77,42.11,3,3,3,333,9,Loyal Customers
CUST00268,58,11,579.36,52.67,2,4,4,244,10,At Risk
CUST00269,3,24,1621.47,67.56,5,5,5,555,15,Champions
CUST00270,422,2,56.21000000000001,28.11,1,1,1,111,3,Hibernating
CUST00271,65,5,142.75,28.55,2,2,2,222,6,Hibernating
CUST00272,5,42,3262.68,77.68,5,5,5,555,15,Champions
CUST00273,105,10,534.97,53.5,1,4,4,144,9,At Risk
CUST00274,34,4,157.7,39.42,3,2,2,322,7,Promising
CUST00275,7,1,41.54,41.54,5,1,1,511,7,New Customers
CUST00276,16,6,305.18,50.86,4,3,3,433,10,Loyal Customers
CUST00277,46,2,71.5,35.75,2,1,1,211,4,Hibernating
CUST00278,4,2,97.21,48.6,5,1,1,511,7,New Customers
CUST00279,22,8,383.88,47.98,4,3,3,433,10,Loyal Customers
CUST00281,31,16,993.6,62.1,3,5,5,355,13,Loyal Customers
CUST00282,20,7,458.43,65.49,4,3,4,434,11,Loyal Customers
CUST00283,80,7,482.55,68.94,2,3,4,234,9,At Risk
CUST00284,15,32,2280.92,71.28,4,5,5,455,14,Champions
CUST00285,10,5,315.51,63.1,4,2,3,423,9,New Customers
CUST00286,113,5,358.65999999999997,71.73,1,2,3,123,6,Lost
CUST00289,8,2,163.62,81.81,5,1,2,512,8,New Customers
CUST00290,151,12,585.81,48.82,1,4,4,144,9,At Risk
CUST00291,11,11,848.1800000000001,77.11,4,4,5,445,13,Champions
CUST00292,105,13,732.91,56.38,1,4,4,144,9,At Risk
CUST00293,8,12,803.28,66.94,5,4,4,544,13,Champions
CUST00294,94,3,97.57,32.52,1,2,1,121,4,Hibernating
CUST00295,42,1,21.24,21.24,3,1,1,311,5,Promising
CUST00296,4,28,1931.19,68.97,5,5,5,555,15,Champions
CUST00297,116,8,368.81,46.1,1,3,3,133,7,At Risk
CUST00298,33,6,388.04,64.67,3,3,3,333,9,Loyal Customers
CUST00299,2,35,2511.33,71.75,5,5,5,555,15,Champions
CUST00300,20,5,171.28,34.26,4,2,2,422,8,New Customers
CUST00301,10,3,266.38,88.79,4,2,3,423,9,New Customers
CUST00302,8,6,222.28,37.05,5,3,2,532,10,Others
CUST00303,39,18,839.79,46.66,3,5,5,355,13,Loyal Customers
CUST00304,48,4,229.37,57.34,2,2,2,222,6,Hibernating
CUST00305,125,2,91.31,45.66,1,1,1,111,3,Hibernating
CUST00306,84,1,69.32,69.32,2,1,1,211,4,Hibernating
CUST00307,27,7,333.43,47.63,3,3,3,333,9,Loyal Customers
CUST00308,19,6,241.60999999999999,40.27,4,3,2,432,9,Others
CUST00309,377,1,17.61,17.61,1,1,1,111,3,Hibernating
CUST00310,46,1,43.77,43.77,2,1,1,211,4,Hibernating
CUST00311,3,3,205.98,68.66,5,2,2,522,9,New Customers
CUST00312,61,3,238.48000000000002,79.49,2,2,2,222,6,Hibernating
CUST00313,7,12,715.29,59.61,5,4,4,544,13,Champions
CUST00314,24,8,547.29,68.41,3,3,4,334,10,Loyal Customers
CUST00315,2,5,297.72,59.54,5,2,3,523,10,New Customers
CUST00316,57,2,97.73,48.86,2,1,1,211,4,Hibernating
CUST00317,1,5,249.54,49.91,5,2,3,523,10,New Customers
CUST00318,3,17,1149.91,67.64,5,5,5,555,15,Champions
CUST00319,128,2,77.32,38.66,1,1,1,111,3,Hibernating
CUST00322,2,8,513.76,64.22,5,3,4,534,12,Loyal Customers
CUST00324,69,4,127.02,31.76,2,2,2,222,6,Hibernating
CUST00325,76,15,748.59,49.91,2,5,4,254,11,At Risk
CUST00326,142,11,596.2,54.2,1,4,4,144,9,At Risk
CUST00327,1,25,1876.76,75.07,5,5,5,555,15,Champions
CUST00328,84,5,394.83,78.97,2,2,3,223,7,Others
CUST00329,4,2,118.89,59.44,5,1,2,512,8,New Customers
CUST00331,218,2,65.36,32.68,1,1,1,111,3,Hibernating
CUST00332,272,6,265.17,44.2,1,3,3,133,7,At Risk
CUST00333,16,14,1012.57,72.33,4,4,5,445,13,Champions
CUST00334,111,5,181.94,36.39,1,2,2,122,5,Hibernating
CUST00335,6,4,338.81,84.7,5,2,3,523,10,New Customers
CUST00336,473,2,92.7,46.35,1,1,1,111,3,Hibernating
CUST00338,96,9,407.2,45.24,1,4,3,143,8,At Risk
CUST00339,12,6,355.5,59.25,4,3,3,433,10,Loyal Customers
CUST00342,22,16,1357.17,84.82,4,5,5,455,14,Champions
CUST00343,221,3,204.93,68.31,1,2,2,122,5,Hibernating
CUST00344,20,21,1967.85,93.71,4,5,5,455,14,Champions
CUST00345,32,9,508.82000000000005,56.54,3,4,4,344,11,Loyal Customers
CUST00346,28,11,394.45,35.86,3,4,3,343,10,Loyal Customers
CUST00347,68,1,81.73,81.73,2,1,1,211,4,Hibernating
CUST00348,54,1,62.32,62.32,2,1,1,211,4,Hibernating
CUST00349,60,4,128.61,32.15,2,2,2,222,6,Hibernating
CUST00350,14,2,59.82,29.91,4,1,1,411,6,New Customers
CUST00351,99,5,273.06,54.61,1,2,3,123,6,Lost
CUST00352,11,4,217.79000000000002,54.45,4,2,2,422,8,New Customers
CUST00353,3,9,705.14,78.35,5,4,4,544,13,Champions
CUST00354,28,25,1533.2,61.33,3,5,5,355,13,Loyal Customers
CUST00355,29,1,27.04,27.04,3,1,1,311,5,Promising
CUST00356,10,7,282.3,40.33,4,3,3,433,10,Loyal Customers
CUST00357,38,10,611.12,61.11,3,4,4,344,11,Loyal Customers
CUST00360,23,9,485.38,53.93,4,4,4,444,12,Champions
CUST00361,49,13,1031.98,79.38,2,4,5,245,11,At Risk
CUST00362,6,8,499.95,62.49,5,3,4,534,12,Loyal Customers
CUST00364,45,11,453.20000000000005,41.2,2,4,4,244,10,At Risk
CUST00365,4,25,1920.3,76.81,5,5,5,555,15,Champions
CUST00366,127,2,153.71,76.86,1,1,2,112,4,Hibernating
CUST00367,32,2,215.62,107.81,3,1,2,312,6,Promising
CUST00368,6,10,953.49,95.35,5,4,5,545,14,Champions
CUST00369,166,8,264.58,33.07,1,3,3,133,7,At Risk
CUST00370,48,12,387.59,32.3,2,4,3,243,9,At Risk
CUST00372,15,6,276.87,46.14,4,3,3,433,10,Loyal Customers
CUST00373,2,8,559.58,69.95,5,3,4,534,12,Loyal Customers
CUST00375,37,19,900.51,47.4,3,5,5,355,13,Loyal Customers
CUST00378,40,4,122.05,30.51,3,2,2,322,7,Promising
CUST00379,59,5,214.03,42.81,2,2,2,222,6,Hibernating
CUST00380,1,9,447.46000000000004,49.72,5,4,4,544,13,Champions
CUST00381,18,23,1550.42,67.41,4,5,5,455,14,Champions
CUST00382,14,11,552.38,50.22,4,4,4,444,12,Champions
CUST00383,44,16,1185.29,74.08,2,5,5,255,12,At Risk
CUST00384,7,15,761.84,50.79,5,5,4,554,14,Champions
CUST00385,2,29,2421.51,83.5,5,5,5,555,15,Champions
CUST00386,227,4,130.04,32.51,1,2,2,122,5,Hibernating
CUST00389,15,15,1101.32,73.42,4,5,5,455,14,Champions
CUST00390,53,7,309.53999999999996,44.22,2,3,3,233,8,At Risk
CUST00391,12,8,608.05,76.01,4,3,4,434,11,Loyal Customers
CUST00392,13,33,2654.9,80.45,4,5,5,455,14,Champions
CUST00393,19,18,828.37,46.02,4,5,4,454,13,Champions
CUST00395,14,33,2189.36,66.34,4,5,5,455,14,Champions
CUST00396,1,3,187.53,62.51,5,2,2,522,9,New Customers
CUST00397,29,18,1634.01,90.78,3,5,5,355,13,Loyal Customers
CUST00398,105,1,22.2,22.2,1,1,1,111,3,Hibernating
CUST00399,6,8,354.37,44.3,5,3,3,533,11,Loyal Customers
CUST00400,47,6,337.94,56.32,2,3,3,233,8,At Risk
CUST00401,19,3,226.8,75.6,4,2,2,422,8,New Customers
CUST00402,288,3,166.39,55.46,1,2,2,122,5,Hibernating
CUST00404,156,4,162.17,40.54,1,2,2,122,5,Hibernating
CUST00405,1,4,214.23000000000002,53.56,5,2,2,522,9,New Customers
CUST00406,4,9,513.88,57.1,5,4,4,544,13,Champions
CUST00407,33,40,2959.57,73.99,3,5,5,355,13,Loyal Customers
CUST00408,56,1,19.17,19.17,2,1,1,211,4,Hibernating
CUST00409,103,8,302.33000000000004,37.79,1,3,3,133,7,At Risk
CUST00411,106,1,78.61,78.61,1,1,1,111,3,Hibernating
CUST00412,4,9,465.33000000000004,51.7,5,4,4,544,13,Champions
CUST00414,330,1,42.81,42.81,1,1,1,111,3,Hibernating
CUST00415,35,4,76.75,19.19,3,2,1,321,6,Promising
CUST00416,67,2,55.47,27.74,2,1,1,211,4,Hibernating
CUST00417,13,28,1848.93,66.03,4,5,5,455,14,Champions
CUST00418,12,6,464.64,77.44,4,3,4,434,11,Loyal Customers
CUST00419,11,8,392.26,49.03,4,3,3,433,10,Loyal Customers
CUST00420,15,25,1481.85,59.27,4,5,5,455,14,Champions
CUST00422,286,3,100.75,33.58,1,2,1,121,4,Hibernating
CUST00423,26,1,96.01,96.01,3,1,1,311,5,Promising
CUST00424,6,3,163.63,54.54,5,2,2,522,9,New Customers
CUST00425,100,13,698.37,53.72,1,4,4,144,9,At Risk
CUST00426,26,26,1835.29,70.59,3,5,5,355,13,Loyal Customers
CUST00427,47,7,507.88,72.55,2,3,4,234,9,At Risk
CUST00429,4,4,350.15,87.54,5,2,3,523,10,New Customers
CUST00430,15,22,1262.16,57.37,4,5,5,455,14,Champions
CUST00431,70,1,7.6,7.6,2,1,1,211,4,Hibernating
CUST00432,9,13,672.76,51.75,5,4,4,544,13,Champions
CUST00433,16,29,1991.69,68.68,4,5,5,455,14,Champions
CUST00434,11,12,575.03,47.92,4,4,4,444,12,Champions
CUST00435,19,11,413.58,37.6,4,4,3,443,11,Loyal Customers
CUST00436,24,4,253.07,63.27,3,2,3,323,8,Others
CUST00438,76,2,23.25,11.62,2,1,1,211,4,Hibernating
CUST00439,26,2,113.89000000000001,56.95,3,1,2,312,6,Promising
CUST00440,12,7,285.84000000000003,40.83,4,3,3,433,10,Loyal Customers
CUST00442,93,7,311.46000000000004,44.49,1,3,3,133,7,At Risk
CUST00443,16,5,288.32,57.66,4,2,3,423,9,New Customers
CUST00444,3,1,30.52,30.52,5,1,1,511,7,New Customers
CUST00446,104,3,255.11,85.04,1,2,3,123,6,Lost
CUST00447,163,1,24.64,24.64,1,1,1,111,3,Hibernating
CUST00449,5,5,274.84,54.97,5,2,3,523,10,New Customers
CUST00450,49,7,205.87,29.41,2,3,2,232,7,Others
CUST00451,3,5,344.84,68.97,5,2,3,523,10,New Customers
CUST00452,16,9,625.38,69.49,4,4,4,444,12,Champions
CUST00453,6,19,1140.36,60.02,5,5,5,555,15,Champions
CUST00454,64,7,395.21000000000004,56.46,2,3,3,233,8,At Risk
CUST00455,8,5,402.83,80.57,5,2,3,523,10,New Customers
CUST00456,12,28,1986.65,70.95,4,5,5,455,14,Champions
CUST00457,16,14,744.68,53.19,4,4,4,444,12,Champions
CUST00458,87,1,33.41,33.41,1,1,1,111,3,Hibernating
CUST00459,61,1,82.03,82.03,2,1,1,211,4,Hibernating
CUST00460,36,1,16.79,16.79,3,1,1,311,5,Promising
CUST00461,5,5,482.87,96.57,5,2,4,524,11,New Customers
CUST00462,6,7,251.56,35.94,5,3,3,533,11,Loyal Customers
CUST00463,77,11,483.41999999999996,43.95,2,4,4,244,10,At Risk
CUST00464,21,4,186.65,46.66,4,2,2,422,8,New Customers
CUST00465,158,7,308.38,44.05,1,3,3,133,7,At Risk
CUST00466,118,2,166.83999999999997,83.42,1,1,2,112,4,Hibernating
