customer_id,signup_date,age,gender,region,acquisition_channel,tenure_days,tenure_months,recency_days,frequency,monetary,avg_order_value,RFM_total,segment,customer_value_tier,support_tickets_last_90d,app_logins_last_30d,email_open_rate,avg_support_csat,churn_probability,risk_tier,recommended_action,churned
CUST00037,2025-08-25,38,Other,West,Paid Ads,128,4.3,128.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,2,1,0.0,3.1,0.9945,High,Send targeted discount / re-engagement email,1
CUST00038,2024-06-04,35,Female,South,Paid Ads,575,19.2,16.0,16.0,981.81,61.36,14.0,Champions,Platinum,1,6,0.5,3.9,0.0105,Low,Upsell / referral program invite,0
CUST00039,2024-08-24,36,Other,Central,Email Campaign,494,16.5,6.0,20.0,1170.88,58.54,15.0,Champions,Platinum,0,11,0.56,4.9,0.0016,Low,Upsell / referral program invite,0
CUST00040,2025-05-07,42,Female,Central,Social Media,238,7.9,44.0,2.0,47.56,23.78,4.0,Hibernating,Bronze,2,3,0.23,3.0,0.6051,Medium,Monitor + include in nurture campaign,0
CUST00041,2025-11-11,18,Other,West,Referral,50,1.7,50.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,5,0.56,4.2,0.0106,Low,Standard engagement / newsletter,0
CUST00042,2024-01-26,37,Male,South,Email Campaign,705,23.5,309.0,10.0,416.07,41.61,8.0,At Risk,Gold,0,9,0.48,4.0,0.8876,High,Send targeted discount / re-engagement email,1
CUST00043,2024-12-17,35,Female,North,Organic Search,379,12.6,156.0,3.0,78.38,26.13,4.0,Hibernating,Bronze,2,2,0.22,4.5,0.8986,High,Send targeted discount / re-engagement email,1
CUST00044,2024-12-08,41,Male,South,Paid Ads,388,12.9,8.0,20.0,1280.33,64.02,15.0,Champions,Platinum,0,7,0.54,5.0,0.0009,Low,Upsell / referral program invite,0
CUST00045,2025-12-16,51,Other,West,Email Campaign,15,0.5,15.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,6,0.37,5.0,0.0046,Low,Standard engagement / newsletter,0
CUST00046,2025-05-24,47,Male,West,Social Media,221,7.4,33.0,9.0,633.73,70.41,11.0,Loyal Customers,Platinum,0,5,0.38,3.2,0.0069,Low,Standard engagement / newsletter,0
CUST00047,2025-03-18,45,Other,West,Email Campaign,288,9.6,12.0,5.0,279.66,55.93,9.0,New Customers,Gold,0,6,0.56,3.9,0.0257,Low,Standard engagement / newsletter,0
CUST00048,2025-08-07,64,Female,Central,Organic Search,146,4.9,95.0,3.0,156.34,52.11,5.0,Hibernating,Silver,0,10,0.37,5.0,0.783,High,Send targeted discount / re-engagement email,1
CUST00049,2024-05-10,39,Other,North,Email Campaign,600,20.0,44.0,15.0,779.47,51.96,11.0,At Risk,Platinum,0,4,0.35,4.3,0.4324,Medium,Monitor + include in nurture campaign,0
CUST00050,2024-01-12,31,Female,East,Organic Search,719,24.0,251.0,6.0,275.01,45.84,7.0,At Risk,Gold,0,1,0.43,3.8,0.8288,High,Send targeted discount / re-engagement email,1
CUST00051,2024-06-07,25,Female,West,Paid Ads,572,19.1,65.0,7.0,370.54,52.93,8.0,At Risk,Gold,0,3,0.43,2.3,0.1829,Low,Standard engagement / newsletter,0
CUST00052,2024-09-27,43,Female,North,Referral,460,15.3,159.0,8.0,340.5,42.56,7.0,At Risk,Gold,1,3,0.38,3.9,0.5575,Medium,Monitor + include in nurture campaign,1
CUST00053,2025-12-22,28,Other,South,Email Campaign,9,0.3,9.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,3,5,0.19,3.9,0.006,Low,Standard engagement / newsletter,0
CUST00054,2025-09-06,34,Male,East,Email Campaign,116,3.9,116.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,0,0.26,3.8,0.9639,High,Send targeted discount / re-engagement email,1
CUST00055,2025-04-06,40,Other,South,Paid Ads,269,9.0,14.0,8.0,464.35,58.04,11.0,Loyal Customers,Gold,1,4,0.46,4.7,0.0297,Low,Standard engagement / newsletter,0
CUST00056,2024-06-18,53,Female,South,Email Campaign,561,18.7,165.0,5.0,172.38,34.48,5.0,Hibernating,Silver,0,0,0.27,2.8,0.7561,High,Send targeted discount / re-engagement email,1
CUST00057,2025-09-20,41,Other,North,Email Campaign,102,3.4,30.0,2.0,94.58,47.29,5.0,Promising,Silver,0,14,0.35,4.8,0.0101,Low,Standard engagement / newsletter,0
CUST00058,2024-09-01,47,Female,West,Organic Search,486,16.2,36.0,12.0,554.21,46.18,11.0,Loyal Customers,Gold,1,7,0.28,3.2,0.0978,Low,Standard engagement / newsletter,0
CUST00059,2025-09-19,41,Male,East,Referral,103,3.4,94.0,2.0,192.22,96.11,4.0,Hibernating,Silver,2,2,0.25,3.4,0.1582,Low,Standard engagement / newsletter,1
CUST00060,2024-02-28,42,Male,North,Paid Ads,672,22.4,98.0,3.0,83.3,27.77,4.0,Hibernating,Silver,0,2,0.15,3.8,0.6417,Medium,Monitor + include in nurture campaign,1
CUST00061,2025-09-20,41,Other,North,Organic Search,102,3.4,46.0,5.0,353.97,70.79,7.0,Others,Gold,0,9,0.65,5.0,0.0018,Low,Standard engagement / newsletter,0
CUST00062,2024-04-22,29,Other,West,Organic Search,618,20.6,5.0,20.0,1575.07,78.75,15.0,Champions,Platinum,1,14,0.6,4.4,0.0024,Low,Upsell / referral program invite,0
CUST00063,2025-04-29,23,Other,South,Paid Ads,246,8.2,165.0,2.0,45.24,22.62,3.0,Hibernating,Bronze,0,3,0.4,2.2,0.5558,Medium,Monitor + include in nurture campaign,1
CUST00064,2024-06-15,45,Other,West,Email Campaign,564,18.8,32.0,8.0,516.57,64.57,10.0,Loyal Customers,Gold,2,4,0.32,4.1,0.0663,Low,Standard engagement / newsletter,0
CUST00065,2025-06-06,49,Male,East,Email Campaign,208,6.9,29.0,4.0,180.15,45.04,7.0,Promising,Silver,1,5,0.16,3.5,0.1137,Low,Standard engagement / newsletter,0
CUST00066,2025-02-01,42,Other,West,Paid Ads,333,11.1,333.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,1,2,0.13,4.4,0.997,High,Send targeted discount / re-engagement email,1
CUST00067,2024-09-14,27,Other,South,Referral,473,15.8,28.0,23.0,1473.1,64.05,13.0,Loyal Customers,Platinum,0,18,0.63,3.2,0.0017,Low,Standard engagement / newsletter,0
CUST00068,2025-12-07,28,Female,East,Social Media,24,0.8,24.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,10,0.49,3.2,0.0073,Low,Standard engagement / newsletter,0
CUST00069,2025-03-17,38,Other,West,Organic Search,289,9.6,289.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,0,0.0,3.3,0.9938,High,Send targeted discount / re-engagement email,1
CUST00070,2024-12-10,55,Male,South,Organic Search,386,12.9,30.0,5.0,257.32,51.46,8.0,Others,Silver,1,1,0.44,2.3,0.3458,Medium,Monitor + include in nurture campaign,0
CUST00071,2025-05-20,25,Female,North,Email Campaign,225,7.5,88.0,5.0,320.23,64.05,6.0,Lost,Gold,1,5,0.44,4.0,0.1525,Low,Standard engagement / newsletter,0
CUST00072,2025-11-04,43,Other,South,Email Campaign,57,1.9,4.0,1.0,182.45,182.45,8.0,New Customers,Silver,2,5,0.44,3.5,0.0019,Low,Standard engagement / newsletter,0
CUST00073,2024-09-16,43,Male,North,Organic Search,471,15.7,30.0,2.0,173.64,86.82,6.0,Promising,Silver,0,1,0.26,3.1,0.6696,High,Send targeted discount / re-engagement email,0
CUST00074,2025-11-10,37,Other,North,Paid Ads,51,1.7,3.0,2.0,149.55,74.78,8.0,New Customers,Silver,0,5,0.2,3.8,0.0036,Low,Standard engagement / newsletter,0
CUST00075,2024-09-26,32,Male,North,Referral,461,15.4,18.0,9.0,450.11,50.01,12.0,Champions,Gold,3,9,0.32,3.5,0.1858,Low,Upsell / referral program invite,0
CUST00076,2025-01-24,48,Male,Central,Paid Ads,341,11.4,14.0,13.0,1322.42,101.72,13.0,Champions,Platinum,0,11,0.53,3.5,0.0076,Low,Upsell / referral program invite,0
CUST00077,2025-11-19,27,Female,West,Paid Ads,42,1.4,14.0,2.0,234.27,117.14,7.0,New Customers,Silver,0,3,0.35,4.8,0.0032,Low,Standard engagement / newsletter,0
CUST00078,2025-11-24,39,Other,South,Email Campaign,37,1.2,37.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,1,2,0.36,3.3,0.0121,Low,Standard engagement / newsletter,0
CUST00079,2024-12-28,42,Other,West,Paid Ads,368,12.3,43.0,24.0,1429.37,59.56,12.0,At Risk,Platinum,0,11,0.42,5.0,0.001,Low,Standard engagement / newsletter,0
CUST00080,2025-05-06,44,Female,West,Paid Ads,239,8.0,201.0,2.0,120.5,60.25,4.0,Hibernating,Silver,2,2,0.43,3.4,0.4389,Medium,Monitor + include in nurture campaign,1
CUST00081,2024-07-24,44,Male,North,Social Media,525,17.5,1.0,11.0,726.0699999999999,66.01,13.0,Champions,Platinum,0,4,0.29,3.5,0.0211,Low,Upsell / referral program invite,0
CUST00082,2025-10-01,44,Female,West,Social Media,91,3.0,91.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,0,0.17,3.9,0.0119,Low,Standard engagement / newsletter,1
CUST00083,2024-12-17,44,Female,North,Organic Search,379,12.6,29.0,3.0,184.13,61.38,7.0,Promising,Silver,0,4,0.28,2.6,0.5928,Medium,Monitor + include in nurture campaign,0
CUST00084,2025-07-11,51,Male,West,Referral,173,5.8,30.0,3.0,122.8,40.93,7.0,Promising,Silver,0,4,0.21,3.9,0.0195,Low,Standard engagement / newsletter,0
CUST00085,2024-08-24,28,Male,South,Paid Ads,494,16.5,494.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,0,0.05,3.2,0.9968,High,Send targeted discount / re-engagement email,1
CUST00086,2024-01-26,35,Male,Central,Social Media,705,23.5,21.0,4.0,139.84,34.96,8.0,New Customers,Silver,0,3,0.32,3.8,0.6801,High,Send targeted discount / re-engagement email,0
CUST00087,2025-01-14,46,Male,West,Paid Ads,351,11.7,4.0,17.0,877.12,51.6,15.0,Champions,Platinum,2,5,0.45,4.3,0.0248,Low,Upsell / referral program invite,0
CUST00088,2024-01-27,18,Female,West,Paid Ads,704,23.5,24.0,45.0,3257.12,72.38,13.0,Loyal Customers,Platinum,0,10,0.39,5.0,0.0011,Low,Standard engagement / newsletter,0
CUST00089,2024-09-09,38,Male,West,Email Campaign,478,15.9,474.0,1.0,19.65,19.65,3.0,Hibernating,Bronze,1,0,0.13,3.7,0.7392,High,Send targeted discount / re-engagement email,1
CUST00090,2024-05-31,25,Male,North,Email Campaign,579,19.3,17.0,4.0,215.28,53.82,8.0,New Customers,Silver,2,3,0.39,4.5,0.6193,Medium,Monitor + include in nurture campaign,0
CUST00091,2024-02-29,38,Male,North,Paid Ads,671,22.4,10.0,10.0,331.9,33.19,11.0,Loyal Customers,Gold,0,2,0.48,3.2,0.1526,Low,Standard engagement / newsletter,0
CUST00092,2025-03-22,30,Male,West,Social Media,284,9.5,3.0,5.0,222.92,44.58,9.0,New Customers,Silver,1,3,0.55,4.8,0.3495,Medium,Monitor + include in nurture campaign,0
CUST00093,2025-11-14,18,Female,South,Social Media,47,1.6,47.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,6,0.4,3.9,0.0048,Low,Standard engagement / newsletter,0
CUST00094,2024-07-08,40,Male,South,Social Media,541,18.0,49.0,6.0,267.3,44.55,8.0,At Risk,Gold,0,3,0.07,4.0,0.511,Medium,Monitor + include in nurture campaign,0
CUST00095,2024-02-24,44,Male,West,Referral,676,22.5,85.0,12.0,718.44,59.87,10.0,At Risk,Platinum,0,3,0.43,4.3,0.2065,Low,Standard engagement / newsletter,0
CUST00096,2024-05-01,48,Female,East,Social Media,609,20.3,63.0,14.0,864.77,61.77,11.0,At Risk,Platinum,0,5,0.4,5.0,0.0307,Low,Standard engagement / newsletter,0
CUST00097,2024-06-24,59,Other,Central,Social Media,555,18.5,9.0,26.0,1663.94,64.0,15.0,Champions,Platinum,2,14,0.48,4.4,0.0007,Low,Upsell / referral program invite,0
CUST00098,2024-07-14,42,Male,South,Referral,535,17.8,46.0,8.0,479.31,59.91,9.0,At Risk,Gold,0,6,0.43,3.1,0.0717,Low,Standard engagement / newsletter,0
CUST00099,2025-11-17,63,Male,North,Email Campaign,44,1.5,24.0,1.0,23.82,23.82,5.0,Promising,Bronze,0,5,0.4,4.1,0.0012,Low,Standard engagement / newsletter,0
CUST00100,2024-06-22,50,Other,Central,Organic Search,557,18.6,40.0,9.0,535.66,59.52,11.0,Loyal Customers,Gold,0,5,0.53,4.8,0.0674,Low,Standard engagement / newsletter,0
CUST00101,2025-06-14,43,Other,East,Organic Search,200,6.7,41.0,6.0,353.12,58.85,9.0,Loyal Customers,Gold,2,6,0.32,4.7,0.0394,Low,Standard engagement / newsletter,0
CUST00102,2024-03-09,47,Male,Central,Social Media,662,22.1,59.0,15.0,848.18,56.55,12.0,At Risk,Platinum,0,7,0.64,5.0,0.0416,Low,Standard engagement / newsletter,0
CUST00103,2024-11-27,34,Other,Central,Paid Ads,399,13.3,38.0,7.0,247.77,35.4,9.0,Loyal Customers,Silver,0,4,0.29,3.3,0.0998,Low,Standard engagement / newsletter,0
CUST00104,2025-03-07,23,Male,Central,Organic Search,299,10.0,1.0,5.0,264.23,52.85,10.0,New Customers,Gold,1,7,0.38,4.4,0.3139,Low,Standard engagement / newsletter,0
CUST00105,2024-02-01,55,Male,North,Email Campaign,699,23.3,116.0,14.0,755.19,53.94,9.0,At Risk,Platinum,0,0,0.17,3.5,0.8491,High,Send targeted discount / re-engagement email,1
CUST00106,2025-08-22,20,Male,South,Social Media,131,4.4,83.0,1.0,41.3,41.3,4.0,Hibernating,Bronze,0,4,0.37,3.2,0.4072,Medium,Monitor + include in nurture campaign,0
CUST00107,2024-04-24,40,Male,Central,Paid Ads,616,20.5,94.0,11.0,518.86,47.17,9.0,At Risk,Gold,1,2,0.29,5.0,0.2742,Low,Standard engagement / newsletter,1
CUST00108,2025-02-14,30,Other,Central,Organic Search,320,10.7,31.0,17.0,1449.36,85.26,13.0,Loyal Customers,Platinum,0,6,0.74,5.0,0.0092,Low,Standard engagement / newsletter,0
CUST00109,2025-11-27,57,Other,North,Social Media,34,1.1,34.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,1,2,0.61,4.3,0.0076,Low,Standard engagement / newsletter,0
CUST00110,2025-01-16,23,Other,Central,Email Campaign,349,11.6,25.0,11.0,559.3199999999999,50.85,11.0,Loyal Customers,Gold,1,6,0.18,4.6,0.1633,Low,Standard engagement / newsletter,0
CUST00111,2025-12-08,41,Other,East,Referral,23,0.8,23.0,1.0,83.87,83.87,6.0,New Customers,Silver,0,5,0.25,3.6,0.0034,Low,Standard engagement / newsletter,0
CUST00112,2024-08-11,30,Male,East,Paid Ads,507,16.9,23.0,19.0,987.58,51.98,14.0,Champions,Platinum,1,11,0.57,3.9,0.0048,Low,Upsell / referral program invite,0
CUST00113,2024-01-17,30,Female,West,Paid Ads,714,23.8,249.0,2.0,77.24000000000001,38.62,3.0,Hibernating,Bronze,0,1,0.1,2.6,0.948,High,Send targeted discount / re-engagement email,1
CUST00114,2025-05-02,48,Other,East,Social Media,243,8.1,44.0,10.0,636.62,63.66,10.0,At Risk,Platinum,0,9,0.65,4.5,0.0009,Low,Standard engagement / newsletter,0
CUST00115,2025-09-06,47,Female,North,Organic Search,116,3.9,29.0,2.0,109.58,54.79,6.0,Promising,Silver,1,2,0.33,3.8,0.0222,Low,Standard engagement / newsletter,0
CUST00116,2024-05-04,45,Female,Central,Email Campaign,606,20.2,38.0,16.0,763.08,47.69,12.0,Loyal Customers,Platinum,1,8,0.63,3.0,0.0215,Low,Standard engagement / newsletter,0
CUST00117,2025-07-18,37,Male,North,Email Campaign,166,5.5,24.0,2.0,74.5,37.25,5.0,Promising,Bronze,0,3,0.13,4.6,0.2172,Low,Standard engagement / newsletter,0
CUST00118,2025-06-27,39,Male,Central,Referral,187,6.2,40.0,3.0,95.23,31.74,6.0,Promising,Silver,1,6,0.39,3.7,0.0844,Low,Standard engagement / newsletter,0
CUST00119,2025-10-13,35,Male,East,Organic Search,79,2.6,9.0,1.0,47.65,47.65,7.0,New Customers,Bronze,0,4,0.39,4.4,0.0093,Low,Standard engagement / newsletter,0
CUST00120,2025-06-12,51,Male,East,Referral,202,6.7,51.0,3.0,139.26,46.42,6.0,Hibernating,Silver,0,3,0.24,2.5,0.2201,Low,Standard engagement / newsletter,0
CUST00121,2025-09-23,53,Male,West,Email Campaign,99,3.3,8.0,3.0,341.28,113.76,10.0,New Customers,Gold,1,12,0.55,4.1,0.0028,Low,Standard engagement / newsletter,0
CUST00122,2025-09-18,38,Other,East,Email Campaign,104,3.5,12.0,6.0,366.02,61.0,10.0,Loyal Customers,Gold,0,5,0.33,3.7,0.0181,Low,Standard engagement / newsletter,0
CUST00123,2024-01-08,41,Other,Central,Organic Search,723,24.1,34.0,13.0,887.27,68.25,12.0,Loyal Customers,Platinum,3,0,0.29,4.5,0.1408,Low,Standard engagement / newsletter,0
CUST00124,2025-11-27,36,Other,Central,Referral,34,1.1,1.0,3.0,130.16,43.39,9.0,New Customers,Silver,0,6,0.43,4.4,0.0102,Low,Standard engagement / newsletter,0
CUST00125,2024-11-09,25,Other,North,Paid Ads,417,13.9,205.0,5.0,128.01,25.6,5.0,Hibernating,Silver,2,2,0.44,1.9,0.6532,Medium,Monitor + include in nurture campaign,1
CUST00126,2025-06-10,23,Female,North,Organic Search,204,6.8,3.0,4.0,163.14999999999998,40.79,9.0,New Customers,Silver,0,0,0.28,3.6,0.0702,Low,Standard engagement / newsletter,0
CUST00127,2025-07-06,37,Other,Central,Paid Ads,178,5.9,64.0,2.0,117.62,58.81,5.0,Hibernating,Silver,1,2,0.4,3.1,0.4397,Medium,Monitor + include in nurture campaign,0
CUST00128,2025-01-19,27,Female,East,Email Campaign,346,11.5,35.0,19.0,1689.97,88.95,13.0,Loyal Customers,Platinum,0,7,0.79,2.9,0.0035,Low,Standard engagement / newsletter,0
CUST00129,2025-09-13,28,Male,East,Paid Ads,109,3.6,18.0,1.0,36.66,36.66,6.0,New Customers,Bronze,1,7,0.47,3.2,0.5871,Medium,Monitor + include in nurture campaign,0
CUST00130,2025-06-17,34,Other,East,Email Campaign,197,6.6,20.0,11.0,797.63,72.51,12.0,Champions,Platinum,0,10,0.24,5.0,0.0015,Low,Upsell / referral program invite,0
CUST00131,2024-03-11,40,Female,East,Organic Search,660,22.0,80.0,4.0,172.11,43.03,6.0,Hibernating,Silver,0,3,0.0,4.1,0.2709,Low,Standard engagement / newsletter,0
CUST00132,2025-07-29,31,Male,West,Referral,155,5.2,46.0,4.0,239.27,59.82,6.0,Hibernating,Silver,0,11,0.14,5.0,0.0214,Low,Standard engagement / newsletter,0
CUST00133,2024-02-26,20,Male,North,Referral,674,22.5,37.0,5.0,102.92,20.58,6.0,Promising,Silver,1,1,0.12,3.2,0.401,Medium,Monitor + include in nurture campaign,0
CUST00134,2025-10-25,21,Male,East,Paid Ads,67,2.2,67.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,2,1,0.13,4.0,0.0124,Low,Standard engagement / newsletter,0
CUST00135,2025-11-16,29,Other,West,Email Campaign,45,1.5,45.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,0,7,0.5,5.0,0.0098,Low,Standard engagement / newsletter,0
CUST00136,2025-01-25,35,Other,West,Email Campaign,340,11.3,7.0,5.0,163.95,32.79,9.0,New Customers,Silver,0,1,0.07,4.4,0.4091,Medium,Monitor + include in nurture campaign,0
CUST00137,2025-09-26,37,Male,North,Organic Search,96,3.2,57.0,2.0,109.48,54.74,5.0,Hibernating,Silver,0,5,0.55,4.3,0.0282,Low,Standard engagement / newsletter,0
CUST00138,2024-11-24,25,Other,South,Email Campaign,402,13.4,1.0,22.0,1626.8,73.95,15.0,Champions,Platinum,0,16,0.59,3.9,0.0006,Low,Upsell / referral program invite,0
CUST00139,2024-03-24,41,Male,East,Email Campaign,647,21.6,31.0,35.0,2461.46,70.33,13.0,Loyal Customers,Platinum,0,12,0.22,4.6,0.0018,Low,Standard engagement / newsletter,0
CUST00140,2025-02-12,28,Other,South,Social Media,322,10.7,17.0,6.0,267.34,44.56,10.0,Loyal Customers,Gold,0,1,0.27,3.4,0.2816,Low,Standard engagement / newsletter,0
CUST00141,2025-12-08,46,Male,North,Referral,23,0.8,23.0,0.0,0.0,0.0,1.0,Hibernating,Bronze,1,6,0.29,3.7,0.0016,Low,Standard engagement / newsletter,0
