transaction_id,customer_id,transaction_date,amount,category,discount_used
TXN0000040,CUST00004,2025-11-21,86.44,Books,1
TXN0000041,CUST00005,2025-02-06,26.07,Beauty,0
TXN0000042,CUST00005,2025-09-21,22.14,Books,0
TXN0000043,CUST00006,2025-05-07,54.87,Books,0
TXN0000044,CUST00006,2025-03-29,20.69,Beauty,0
TXN0000045,CUST00006,2025-02-12,87.44,Electronics,1
TXN0000046,CUST00006,2025-09-05,54.45,Fashion,1
TXN0000047,CUST00006,2025-05-30,63.38,Fashion,0
TXN0000048,CUST00006,2025-01-02,12.79,Sports,1
TXN0000049,CUST00006,2025-07-28,28.7,Beauty,0
TXN0000050,CUST00007,2025-10-29,34.8,Sports,0
TXN0000051,CUST00007,2025-10-23,23.21,Home & Kitchen,0
TXN0000052,CUST00007,2025-08-14,61.71,Books,1
TXN0000053,CUST00007,2024-08-19,40.37,Fashion,0
TXN0000054,CUST00007,2025-08-10,8.02,Sports,1
TXN0000055,CUST00007,2025-09-19,53.1,Sports,0
TXN0000056,CUST00007,2025-02-16,90.91,Beauty,0
TXN0000057,CUST00007,2024-12-19,46.65,Home & Kitchen,0
TXN0000058,CUST00007,2024-08-21,51.43,Home & Kitchen,0
TXN0000059,CUST00007,2025-03-23,100.26,Sports,0
TXN0000060,CUST00007,2025-01-13,39.62,Home & Kitchen,1
TXN0000061,CUST00007,2024-08-18,22.45,Home & Kitchen,1
TXN0000062,CUST00007,2025-10-17,46.03,Beauty,0
TXN0000063,CUST00007,2025-04-22,68.21,Books,0
TXN0000064,CUST00007,2025-07-13,33.42,Beauty,1
TXN0000065,CUST00007,2024-09-06,77.26,Books,0
TXN0000066,CUST00007,2025-01-31,48.69,Home & Kitchen,0
TXN0000067,CUST00007,2025-12-14,18.55,Sports,0
TXN0000068,CUST00007,2024-11-18,51.09,Fashion,0
TXN0000069,CUST00007,2025-06-17,52.52,Sports,1
TXN0000070,CUST00007,2025-06-21,11.09,Sports,0
TXN0000071,CUST00007,2025-05-22,57.75,Fashion,0
TXN0000072,CUST00007,2024-09-03,15.59,Beauty,0
TXN0000073,CUST00007,2024-10-31,90.37,Sports,1
TXN0000074,CUST00008,2024-12-19,37.61,Books,1
TXN0000075,CUST00008,2024-12-20,10.2,Home & Kitchen,0
TXN0000076,CUST00008,2025-05-12,80.69,Home & Kitchen,0
TXN0000077,CUST00008,2025-05-04,45.37,Beauty,1
TXN0000078,CUST00008,2024-09-14,28.71,Beauty,0
TXN0000079,CUST00008,2024-09-30,12.46,Beauty,0
TXN0000080,CUST00008,2024-10-07,71.19,Electronics,0
TXN0000081,CUST00008,2025-03-29,32.14,Books,0
TXN0000082,CUST00009,2025-09-09,54.61,Electronics,1
TXN0000083,CUST00009,2025-07-11,74.24,Home & Kitchen,0
TXN0000084,CUST00010,2024-11-26,8.64,Sports,0
TXN0000085,CUST00010,2024-09-05,34.44,Electronics,1
TXN0000086,CUST00010,2025-05-16,42.99,Sports,0
TXN0000087,CUST00010,2024-07-10,27.82,Fashion,0
TXN0000088,CUST00010,2025-07-11,4.11,Home & Kitchen,1
TXN0000089,CUST00010,2024-10-10,16.3,Electronics,0
TXN0000090,CUST00010,2025-06-06,41.84,Home & Kitchen,1
TXN0000091,CUST00011,2025-05-01,57.64,Fashion,0
TXN0000092,CUST00011,2025-03-28,94.43,Fashion,1
TXN0000093,CUST00011,2024-05-22,31.46,Home & Kitchen,0
TXN0000094,CUST00011,2025-11-21,48.64,Electronics,0
TXN0000095,CUST00011,2025-02-10,48.46,Books,0
TXN0000096,CUST00011,2025-11-28,24.13,Home & Kitchen,1
TXN0000097,CUST00011,2025-04-18,24.17,Sports,1
TXN0000098,CUST00012,2025-10-20,25.96,Sports,0
TXN0000099,CUST00012,2024-11-04,79.66,Sports,0
TXN0000100,CUST00012,2025-02-17,27.17,Sports,0
TXN0000101,CUST00013,2025-01-11,101.5,Sports,1
TXN0000102,CUST00013,2025-07-11,81.74,Fashion,0
TXN0000103,CUST00013,2025-12-24,126.48,Electronics,0
TXN0000104,CUST00013,2025-08-25,90.55,Electronics,0
TXN0000105,CUST00013,2025-10-29,18.58,Beauty,0
TXN0000106,CUST00013,2025-07-06,116.09,Home & Kitchen,0
TXN0000107,CUST00013,2025-02-07,90.63,Fashion,0
TXN0000108,CUST00013,2025-09-18,112.01,Fashion,1
TXN0000109,CUST00013,2025-06-15,61.03,Home & Kitchen,0
TXN0000110,CUST00013,2025-10-16,78.89,Home & Kitchen,1
TXN0000111,CUST00013,2025-06-29,53.25,Sports,1
TXN0000112,CUST00013,2025-01-31,47.41,Fashion,0
TXN0000113,CUST00013,2025-02-20,66.02,Fashion,0
TXN0000114,CUST00013,2025-08-08,62.67,Home & Kitchen,0
TXN0000115,CUST00013,2025-08-13,36.48,Home & Kitchen,1
TXN0000116,CUST00013,2025-04-19,48.92,Electronics,0
TXN0000117,CUST00013,2024-12-19,139.44,Sports,0
TXN0000118,CUST00013,2025-04-09,71.37,Beauty,0
TXN0000119,CUST00013,2025-07-27,83.61,Sports,0
TXN0000120,CUST00013,2025-03-12,21.9,Fashion,0
TXN0000121,CUST00013,2025-03-15,92.5,Books,0
TXN0000122,CUST00013,2025-09-14,56.16,Electronics,0
TXN0000123,CUST00013,2025-11-25,96.62,Books,0
TXN0000124,CUST00014,2025-04-27,45.55,Home & Kitchen,0
TXN0000125,CUST00014,2025-02-27,53.29,Beauty,1
TXN0000126,CUST00014,2025-11-12,106.39,Fashion,1
TXN0000127,CUST00014,2025-02-16,88.65,Beauty,0
TXN0000128,CUST00014,2025-12-06,81.83,Books,0
TXN0000129,CUST00014,2025-08-13,76.61,Books,0
TXN0000130,CUST00014,2025-12-17,39.21,Sports,0
TXN0000131,CUST00014,2025-06-17,65.79,Electronics,0
TXN0000132,CUST00014,2025-09-23,121.23,Sports,1
TXN0000133,CUST00015,2025-10-23,17.25,Books,1
TXN0000134,CUST00015,2024-07-06,47.35,Home & Kitchen,0
TXN0000135,CUST00015,2025-03-06,40.5,Electronics,0
TXN0000136,CUST00015,2025-08-20,25.19,Books,0
TXN0000137,CUST00015,2024-12-23,61.74,Sports,0
TXN0000138,CUST00016,2025-03-12,81.27,Beauty,0
TXN0000139,CUST00016,2025-08-14,46.21,Electronics,1
TXN0000140,CUST00016,2024-12-21,64.59,Electronics,1
TXN0000141,CUST00016,2024-09-02,28.62,Home & Kitchen,0
TXN0000142,CUST00016,2024-12-30,54.68,Home & Kitchen,0
TXN0000143,CUST00016,2025-03-14,134.15,Beauty,0
TXN0000144,CUST00016,2025-04-17,73.95,Beauty,1
TXN0000145,CUST00016,2024-10-09,67.9,Electronics,0
TXN0000146,CUST00016,2025-10-29,56.4,Fashion,0
TXN0000147,CUST00016,2025-04-04,61.44,Books,0
TXN0000148,CUST00016,2025-05-15,77.8,Books,1
TXN0000149,CUST00016,2025-11-05,100.92,Sports,0
TXN0000150,CUST00016,2024-11-01,67.45,Electronics,0
TXN0000151,CUST00016,2025-09-10,50.1,Books,1
TXN0000152,CUST00016,2024-10-21,52.13,Books,0
TXN0000153,CUST00016,2024-06-12,90.29,Beauty,0
TXN0000154,CUST00016,2024-10-15,86.69,Electronics,1
TXN0000155,CUST00016,2024-07-02,30.65,Home & Kitchen,0
TXN0000156,CUST00016,2025-02-28,23.36,Sports,0
TXN0000157,CUST00016,2024-05-30,28.95,Electronics,1
TXN0000158,CUST00016,2024-11-11,70.89,Home & Kitchen,0
TXN0000159,CUST00016,2024-06-17,50.49,Sports,0
TXN0000160,CUST00016,2024-09-17,270.6,Sports,1
TXN0000161,CUST00016,2025-09-28,73.73,Fashion,0
TXN0000162,CUST00016,2024-07-18,25.9,Home & Kitchen,0
TXN0000163,CUST00016,2025-03-02,61.39,Sports,0
TXN0000164,CUST00016,2024-08-01,18.09,Books,0
TXN0000165,CUST00016,2025-11-09,44.8,Fashion,0
TXN0000166,CUST00016,2025-08-28,14.24,Fashion,0
TXN0000167,CUST00017,2025-12-05,72.77,Electronics,0
TXN0000168,CUST00017,2025-04-14,48.63,Books,0
TXN0000169,CUST00017,2025-08-21,69.68,Books,0
TXN0000170,CUST00017,2024-12-01,10.62,Beauty,0
TXN0000171,CUST00017,2024-12-28,73.45,Beauty,0
TXN0000172,CUST00017,2025-12-02,145.58,Sports,0
TXN0000173,CUST00017,2024-12-27,35.09,Sports,0
TXN0000174,CUST00017,2025-08-05,56.07,Sports,0
TXN0000175,CUST00017,2025-05-15,80.92,Electronics,1
TXN0000176,CUST00017,2025-12-23,78.02,Fashion,0
TXN0000177,CUST00017,2025-10-16,92.92,Beauty,0
TXN0000178,CUST00017,2025-04-20,24.93,Home & Kitchen,0
TXN0000179,CUST00017,2025-06-29,75.82,Beauty,0
TXN0000180,CUST00017,2024-10-14,64.46,Fashion,0
TXN0000181,CUST00017,2024-09-28,36.0,Fashion,0
TXN0000182,CUST00017,2025-12-24,162.01,Home & Kitchen,0
TXN0000183,CUST00017,2025-12-18,88.17,Electronics,0
TXN0000184,CUST00017,2025-07-07,16.35,Beauty,0
TXN0000185,CUST00017,2025-11-08,74.19,Sports,0
TXN0000186,CUST00017,2024-09-16,91.79,Books,0
TXN0000187,CUST00017,2024-12-02,157.46,Electronics,1
TXN0000188,CUST00017,2024-11-11,21.65,Sports,0
TXN0000189,CUST00017,2025-10-04,164.3,Beauty,0
TXN0000190,CUST00017,2025-01-15,34.19,Home & Kitchen,0
TXN0000191,CUST00017,2025-03-12,89.59,Electronics,0
TXN0000192,CUST00017,2024-10-04,113.57,Beauty,0
TXN0000193,CUST00018,2024-12-16,17.73,Sports,1
TXN0000194,CUST00019,2025-03-02,18.1,Beauty,0
TXN0000195,CUST00019,2025-04-13,93.89,Books,0
TXN0000196,CUST00019,2025-07-21,13.98,Fashion,1
TXN0000197,CUST00019,2025-12-30,36.02,Fashion,0
TXN0000198,CUST00019,2025-04-03,43.92,Beauty,1
TXN0000199,CUST00020,2025-12-06,17.55,Sports,0
TXN0000200,CUST00021,2025-06-17,8.54,Fashion,0
TXN0000201,CUST00021,2025-03-08,26.15,Beauty,0
TXN0000202,CUST00021,2025-01-22,43.38,Beauty,0
TXN0000203,CUST00021,2025-01-08,53.69,Books,0
TXN0000204,CUST00021,2025-10-09,31.63,Sports,0
TXN0000205,CUST00021,2025-09-23,54.19,Fashion,0
TXN0000206,CUST00021,2025-04-13,37.98,Sports,0
TXN0000207,CUST00022,2024-08-01,57.94,Sports,0
TXN0000208,CUST00022,2024-10-28,164.09,Books,0
TXN0000209,CUST00022,2025-04-12,48.16,Sports,0
TXN0000210,CUST00022,2025-04-30,32.67,Fashion,0
TXN0000211,CUST00022,2025-01-25,35.94,Fashion,1
TXN0000212,CUST00022,2025-08-09,19.05,Electronics,0
TXN0000213,CUST00022,2024-04-02,11.18,Home & Kitchen,1
TXN0000214,CUST00023,2025-08-09,71.77,Beauty,1
TXN0000215,CUST00023,2024-12-12,34.1,Home & Kitchen,0
TXN0000216,CUST00023,2025-05-05,18.4,Books,0
TXN0000217,CUST00023,2025-08-30,41.9,Sports,0
TXN0000218,CUST00023,2024-06-03,48.07,Electronics,1
TXN0000219,CUST00023,2024-04-26,123.23,Electronics,0
TXN0000220,CUST00023,2024-11-15,21.26,Books,0
TXN0000221,CUST00023,2024-07-09,52.23,Beauty,1
TXN0000222,CUST00023,2025-11-06,84.38,Beauty,0
TXN0000223,CUST00023,2024-06-07,93.18,Home & Kitchen,0
TXN0000224,CUST00023,2024-12-17,53.03,Home & Kitchen,0
TXN0000225,CUST00024,2025-12-24,119.79,Fashion,0
TXN0000226,CUST00024,2025-12-29,81.22,Home & Kitchen,0
TXN0000227,CUST00024,2025-10-26,20.28,Home & Kitchen,0
TXN0000228,CUST00024,2024-06-21,16.05,Sports,0
TXN0000229,CUST00024,2024-06-15,90.06,Books,0
TXN0000230,CUST00024,2024-07-31,10.93,Electronics,1
TXN0000231,CUST00024,2024-12-10,33.62,Home & Kitchen,0
TXN0000232,CUST00024,2024-05-31,52.17,Fashion,1
TXN0000233,CUST00024,2024-12-12,131.54,Home & Kitchen,1
TXN0000234,CUST00024,2025-01-14,82.44,Sports,0
TXN0000235,CUST00024,2024-09-25,33.51,Beauty,0
TXN0000236,CUST00024,2024-09-29,52.66,Sports,0
TXN0000237,CUST00024,2024-06-05,52.58,Fashion,0
TXN0000238,CUST00024,2025-03-25,131.91,Beauty,0
TXN0000239,CUST00024,2024-04-04,67.46,Electronics,1
TXN0000240,CUST00024,2025-05-18,72.75,Fashion,0
TXN0000241,CUST00024,2024-03-11,97.05,Fashion,0
TXN0000242,CUST00024,2024-08-22,66.65,Books,0
TXN0000243,CUST00024,2025-10-03,91.89,Home & Kitchen,1
TXN0000244,CUST00024,2025-02-10,30.4,Fashion,0
TXN0000245,CUST00024,2025-07-12,153.65,Books,0
TXN0000246,CUST00024,2025-07-24,68.01,Electronics,0
TXN0000247,CUST00025,2024-09-20,38.65,Electronics,1
TXN0000248,CUST00025,2025-07-22,65.49,Books,0
TXN0000249,CUST00025,2025-02-04,73.16,Electronics,0
TXN0000250,CUST00025,2024-08-30,96.33,Fashion,1
TXN0000251,CUST00025,2025-05-12,19.08,Sports,0
TXN0000252,CUST00025,2025-12-07,31.16,Fashion,1
TXN0000253,CUST00025,2025-03-17,49.0,Home & Kitchen,0
TXN0000254,CUST00025,2025-08-26,57.46,Electronics,0
TXN0000255,CUST00025,2024-10-02,71.78,Home & Kitchen,0
TXN0000256,CUST00025,2024-10-24,44.49,Books,1
TXN0000257,CUST00027,2025-06-01,28.34,Electronics,0
TXN0000258,CUST00027,2025-08-29,76.75,Home & Kitchen,0
TXN0000259,CUST00027,2025-11-01,111.23,Beauty,0
TXN0000260,CUST00027,2025-06-12,25.46,Beauty,0
TXN0000261,CUST00027,2025-11-02,85.96,Electronics,0
TXN0000262,CUST00027,2025-10-02,50.15,Home & Kitchen,0
TXN0000263,CUST00027,2025-10-25,118.74,Fashion,0
TXN0000264,CUST00027,2025-06-06,138.94,Books,0
TXN0000265,CUST00028,2025-04-21,41.52,Sports,0
TXN0000266,CUST00028,2024-12-22,41.35,Fashion,0
TXN0000267,CUST00028,2025-12-09,37.26,Fashion,0
TXN0000268,CUST00028,2025-07-10,32.38,Sports,1
TXN0000269,CUST00030,2025-12-25,17.0,Sports,0
TXN0000270,CUST00030,2025-01-30,72.6,Home & Kitchen,0
TXN0000271,CUST00030,2025-03-14,62.43,Sports,0
TXN0000272,CUST00030,2025-05-31,50.77,Beauty,1
TXN0000273,CUST00030,2025-11-25,15.13,Sports,0
TXN0000274,CUST00031,2025-08-01,80.76,Books,0
TXN0000275,CUST00032,2024-07-07,43.61,Fashion,0
TXN0000276,CUST00032,2025-10-08,43.53,Books,0
TXN0000277,CUST00032,2024-11-08,20.49,Books,0
TXN0000278,CUST00032,2024-12-16,46.23,Books,0
TXN0000279,CUST00032,2025-09-08,29.18,Electronics,0
TXN0000280,CUST00032,2024-03-03,87.39,Beauty,0
TXN0000281,CUST00032,2025-01-23,22.8,Sports,0
TXN0000282,CUST00032,2024-07-28,39.74,Books,0
TXN0000283,CUST00032,2024-02-29,38.22,Sports,0
TXN0000284,CUST00032,2025-12-12,33.53,Electronics,0
TXN0000285,CUST00032,2025-09-13,22.43,Home & Kitchen,1
TXN0000286,CUST00032,2025-10-18,151.8,Fashion,0
TXN0000287,CUST00032,2025-05-06,126.48,Electronics,0
TXN0000288,CUST00032,2024-12-28,83.12,Home & Kitchen,1
TXN0000289,CUST00032,2024-07-14,51.8,Fashion,0
TXN0000290,CUST00032,2024-11-19,48.36,Books,0
TXN0000291,CUST00033,2025-07-02,20.72,Sports,0
TXN0000292,CUST00033,2025-10-20,17.1,Home & Kitchen,1
TXN0000293,CUST00033,2024-05-19,60.53,Electronics,0
TXN0000294,CUST00033,2025-08-26,42.79,Beauty,0
TXN0000295,CUST00033,2025-03-20,5.72,Books,0
TXN0000296,CUST00033,2024-09-20,29.03,Electronics,0
TXN0000297,CUST00033,2025-05-27,59.39,Electronics,0
TXN0000298,CUST00033,2024-06-10,32.32,Beauty,1
TXN0000299,CUST00033,2025-04-25,64.17,Books,0
TXN0000300,CUST00033,2024-07-06,174.78,Home & Kitchen,0
TXN0000301,CUST00033,2024-12-02,57.43,Books,1
TXN0000302,CUST00033,2024-08-01,24.13,Books,1
TXN0000303,CUST00033,2025-11-18,38.9,Home & Kitchen,1
TXN0000304,CUST00033,2024-05-31,32.43,Electronics,0
TXN0000305,CUST00034,2024-06-02,47.0,Electronics,0
TXN0000306,CUST00034,2024-07-26,142.4,Home & Kitchen,0
TXN0000307,CUST00036,2025-12-23,28.79,Books,0
TXN0000308,CUST00036,2025-11-20,20.51,Beauty,1
TXN0000309,CUST00036,2025-09-06,49.69,Fashion,0
TXN0000310,CUST00036,2025-01-24,23.46,Beauty,1
TXN0000311,CUST00036,2025-09-28,71.61,Sports,1
TXN0000312,CUST00036,2025-10-22,20.81,Books,0
TXN0000313,CUST00036,2024-12-14,70.84,Electronics,0
TXN0000314,CUST00036,2025-05-09,82.06,Home & Kitchen,1
TXN0000315,CUST00036,2025-06-27,89.36,Beauty,1
TXN0000316,CUST00038,2025-09-29,138.4,Sports,0
TXN0000317,CUST00038,2025-08-22,28.4,Sports,0
TXN0000318,CUST00038,2025-02-21,47.85,Electronics,1
TXN0000319,CUST00038,2025-01-26,82.77,Fashion,0
TXN0000320,CUST00038,2025-09-22,52.2,Fashion,0
TXN0000321,CUST00038,2025-06-08,15.37,Sports,0
TXN0000322,CUST00038,2025-09-03,40.23,Beauty,0
TXN0000323,CUST00038,2025-12-15,34.97,Sports,0
TXN0000324,CUST00038,2024-06-27,36.39,Books,1
TXN0000325,CUST00038,2024-06-21,123.15,Electronics,0
TXN0000326,CUST00038,2024-08-16,82.67,Electronics,0
TXN0000327,CUST00038,2024-10-16,68.77,Fashion,0
TXN0000328,CUST00038,2025-06-02,47.61,Sports,0
TXN0000329,CUST00038,2025-04-28,38.61,Home & Kitchen,0
TXN0000330,CUST00038,2025-07-30,79.94,Home & Kitchen,0
TXN0000331,CUST00038,2025-05-06,64.48,Beauty,0
TXN0000332,CUST00039,2024-12-07,75.2,Beauty,1
TXN0000333,CUST00039,2025-08-19,39.92,Books,1
TXN0000334,CUST00039,2025-10-24,23.02,Fashion,1
TXN0000335,CUST00039,2024-10-04,53.11,Electronics,1
TXN0000336,CUST00039,2025-12-25,23.98,Home & Kitchen,0
TXN0000337,CUST00039,2025-09-23,25.43,Books,1
TXN0000338,CUST00039,2025-09-08,80.71,Home & Kitchen,0
TXN0000339,CUST00039,2025-12-18,32.18,Home & Kitchen,1
TXN0000340,CUST00039,2024-12-21,154.43,Books,0
TXN0000341,CUST00039,2025-01-14,34.48,Home & Kitchen,0
TXN0000342,CUST00039,2024-08-24,74.43,Fashion,1
TXN0000343,CUST00039,2025-10-26,95.04,Sports,1
TXN0000344,CUST00039,2025-02-24,39.13,Home & Kitchen,0
TXN0000345,CUST00039,2025-03-07,64.13,Electronics,0
TXN0000346,CUST00039,2025-08-06,85.08,Books,0
TXN0000347,CUST00039,2025-12-06,53.91,Home & Kitchen,0
TXN0000348,CUST00039,2025-10-04,85.78,Beauty,1
TXN0000349,CUST00039,2025-09-20,86.93,Electronics,0
TXN0000350,CUST00039,2025-09-14,34.95,Sports,0
TXN0000351,CUST00039,2025-03-19,9.04,Home & Kitchen,0
TXN0000352,CUST00040,2025-11-17,32.48,Fashion,0
TXN0000353,CUST00040,2025-07-17,15.08,Fashion,1
TXN0000354,CUST00042,2024-05-12,79.68,Home & Kitchen,1
TXN0000355,CUST00042,2024-08-16,36.2,Beauty,0
TXN0000356,CUST00042,2024-10-09,32.54,Books,0
TXN0000357,CUST00042,2024-09-18,34.29,Fashion,0
TXN0000358,CUST00042,2024-08-17,19.92,Electronics,0
TXN0000359,CUST00042,2024-06-08,70.03,Books,0
TXN0000360,CUST00042,2024-07-23,44.02,Beauty,0
TXN0000361,CUST00042,2024-08-28,39.02,Sports,0
TXN0000362,CUST00042,2025-02-22,38.61,Books,0
TXN0000363,CUST00042,2025-02-25,21.76,Sports,1
TXN0000364,CUST00043,2025-07-13,20.03,Books,0
TXN0000365,CUST00043,2025-07-28,14.44,Books,1
TXN0000366,CUST00043,2025-07-28,43.91,Fashion,0
TXN0000367,CUST00044,2025-09-09,16.66,Beauty,0
TXN0000368,CUST00044,2025-07-25,33.39,Fashion,1
TXN0000369,CUST00044,2025-11-30,25.39,Sports,0
TXN0000370,CUST00044,2025-12-23,158.59,Fashion,1
TXN0000371,CUST00044,2025-01-10,86.73,Beauty,1
TXN0000372,CUST00044,2024-12-13,39.4,Home & Kitchen,0
TXN0000373,CUST00044,2025-08-02,30.53,Sports,0
TXN0000374,CUST00044,2025-07-24,125.96,Home & Kitchen,1
TXN0000375,CUST00044,2025-06-23,14.93,Beauty,0
TXN0000376,CUST00044,2025-12-21,22.47,Sports,0
TXN0000377,CUST00044,2025-07-24,55.16,Fashion,0
TXN0000378,CUST00044,2025-06-24,118.47,Fashion,0
TXN0000379,CUST00044,2025-01-04,87.16,Books,0
TXN0000380,CUST00044,2025-08-15,40.4,Fashion,1
TXN0000381,CUST00044,2025-10-09,102.35,Sports,0
TXN0000382,CUST00044,2025-02-24,31.11,Sports,0
TXN0000383,CUST00044,2025-05-19,2.36,Books,0
TXN0000384,CUST00044,2025-07-30,120.13,Fashion,0
TXN0000385,CUST00044,2025-11-09,89.04,Fashion,0
TXN0000386,CUST00044,2025-09-04,80.1,Home & Kitchen,0
TXN0000387,CUST00046,2025-09-03,47.36,Books,1
TXN0000388,CUST00046,2025-11-21,71.93,Books,0
TXN0000389,CUST00046,2025-09-04,142.56,Sports,0
TXN0000390,CUST00046,2025-11-28,35.47,Fashion,0
TXN0000391,CUST00046,2025-08-02,55.85,Beauty,0
TXN0000392,CUST00046,2025-11-19,12.23,Fashion,0
TXN0000393,CUST00046,2025-09-01,111.76,Books,1
TXN0000394,CUST00046,2025-10-07,51.11,Sports,0
TXN0000395,CUST00046,2025-08-28,105.46,Fashion,0
TXN0000396,CUST00047,2025-09-24,31.93,Home & Kitchen,0
TXN0000397,CUST00047,2025-08-06,27.92,Electronics,0
TXN0000398,CUST00047,2025-12-19,53.73,Sports,1
TXN0000399,CUST00047,2025-10-06,20.23,Sports,1
TXN0000400,CUST00047,2025-08-08,145.85,Books,0
TXN0000401,CUST00048,2025-09-11,8.5,Electronics,1
TXN0000402,CUST00048,2025-09-27,70.05,Fashion,0
TXN0000403,CUST00048,2025-08-14,77.79,Home & Kitchen,0
TXN0000404,CUST00049,2024-09-23,104.75,Fashion,0
TXN0000405,CUST00049,2024-11-11,28.94,Books,0
TXN0000406,CUST00049,2024-06-17,37.33,Electronics,1
TXN0000407,CUST00049,2024-10-05,37.25,Home & Kitchen,0
TXN0000408,CUST00049,2024-10-19,46.79,Beauty,0
TXN0000409,CUST00049,2025-01-14,66.16,Beauty,1
TXN0000410,CUST00049,2024-07-19,25.4,Home & Kitchen,0
TXN0000411,CUST00049,2024-07-18,33.69,Beauty,0
TXN0000412,CUST00049,2025-05-30,123.65,Books,1
TXN0000413,CUST00049,2024-11-23,76.89,Books,0
TXN0000414,CUST00049,2025-01-27,31.76,Books,0
TXN0000415,CUST00049,2024-05-19,29.79,Home & Kitchen,0
TXN0000416,CUST00049,2025-10-15,25.64,Fashion,0
TXN0000417,CUST00049,2025-06-04,59.68,Fashion,0
TXN0000418,CUST00049,2025-11-17,51.75,Electronics,1
TXN0000419,CUST00050,2024-12-13,16.86,Fashion,0
TXN0000420,CUST00050,2024-08-21,46.3,Fashion,1
TXN0000421,CUST00050,2024-05-01,63.37,Electronics,0
TXN0000422,CUST00050,2025-04-24,45.44,Sports,0
TXN0000423,CUST00050,2024-08-28,38.82,Sports,0
TXN0000424,CUST00050,2024-11-12,64.22,Home & Kitchen,0
TXN0000425,CUST00051,2025-04-21,46.27,Sports,0
TXN0000426,CUST00051,2025-10-27,89.21,Sports,1
TXN0000427,CUST00051,2025-05-08,72.47,Sports,0
TXN0000428,CUST00051,2025-03-27,57.45,Fashion,0
TXN0000429,CUST00051,2025-01-15,47.49,Sports,0
TXN0000430,CUST00051,2025-06-30,25.66,Fashion,0
TXN0000431,CUST00051,2025-08-22,31.99,Fashion,0
TXN0000432,CUST00052,2025-02-05,51.05,Books,1
TXN0000433,CUST00052,2024-10-29,21.29,Electronics,0
TXN0000434,CUST00052,2025-01-29,55.17,Home & Kitchen,1
TXN0000435,CUST00052,2025-01-06,8.98,Electronics,1
TXN0000436,CUST00052,2025-05-21,5.51,Books,1
TXN0000437,CUST00052,2024-10-01,64.9,Beauty,0
TXN0000438,CUST00052,2025-05-28,36.11,Fashion,0
TXN0000439,CUST00052,2025-07-25,97.49,Sports,0
TXN0000440,CUST00055,2025-12-17,31.78,Sports,0
TXN0000441,CUST00055,2025-04-10,48.31,Beauty,0
TXN0000442,CUST00055,2025-09-15,18.47,Books,1
TXN0000443,CUST00055,2025-06-21,88.94,Books,0
TXN0000444,CUST00055,2025-07-25,92.56,Home & Kitchen,1
TXN0000445,CUST00055,2025-11-07,149.13,Fashion,1
TXN0000446,CUST00055,2025-07-29,25.96,Beauty,0
TXN0000447,CUST00055,2025-08-28,9.2,Beauty,1
TXN0000448,CUST00056,2025-02-24,10.72,Beauty,0
