customer_id,support_tickets_last_90d,app_logins_last_30d,email_open_rate,avg_support_csat
CUST00178,1,7,0.18,3.9
CUST00179,0,0,0.17,3.9
CUST00180,0,5,0.52,5.0
CUST00181,1,9,0.51,5.0
CUST00182,2,7,0.29,3.2
CUST00183,0,4,0.17,2.8
CUST00184,0,0,0.27,1.8
CUST00185,0,10,0.62,5.0
CUST00186,0,2,0.43,4.3
CUST00187,0,7,0.48,4.6
CUST00188,0,5,0.53,3.5
CUST00189,0,6,0.43,4.1
CUST00190,0,2,0.38,3.0
CUST00191,0,10,0.46,4.8
CUST00192,1,5,0.57,4.8
CUST00193,1,8,0.55,3.5
CUST00194,0,4,0.63,4.8
CUST00195,0,4,0.23,3.5
CUST00196,0,7,0.35,3.9
CUST00197,1,1,0.42,2.8
CUST00198,0,10,0.2,2.7
CUST00199,1,3,0.33,3.0
CUST00200,1,10,0.36,4.4
CUST00201,1,7,0.47,4.0
CUST00202,1,8,0.61,4.7
CUST00203,0,14,0.45,3.7
CUST00204,2,9,0.78,4.6
CUST00205,3,4,0.37,3.0
CUST00206,0,11,0.78,3.8
CUST00207,0,0,0.13,3.5
CUST00208,0,1,0.58,2.4
CUST00209,1,3,0.49,3.0
CUST00210,0,9,0.58,4.2
CUST00211,0,3,0.14,5.0
CUST00212,0,3,0.27,3.6
CUST00213,0,6,0.54,3.9
CUST00214,0,6,0.18,4.3
CUST00215,1,4,0.26,4.2
CUST00216,3,5,0.48,5.0
CUST00217,0,0,0.07,3.5
CUST00218,2,10,0.31,3.2
CUST00219,0,5,0.56,5.0
CUST00220,0,14,0.48,4.1
CUST00221,1,4,0.19,2.9
CUST00222,2,4,0.32,3.2
CUST00223,0,5,0.49,4.2
CUST00224,0,4,0.35,4.1
CUST00225,1,5,0.69,3.7
CUST00226,2,2,0.16,4.0
CUST00227,1,7,0.65,2.8
CUST00228,0,5,0.51,4.2
CUST00229,0,1,0.28,4.2
CUST00230,0,2,0.29,3.0
CUST00231,1,0,0.35,4.0
CUST00232,1,5,0.12,3.6
CUST00233,0,13,0.58,5.0
CUST00234,1,7,0.27,4.6
CUST00235,1,10,0.62,3.9
CUST00236,2,2,0.38,2.5
CUST00237,0,4,0.33,3.8
CUST00238,2,0,0.49,3.6
CUST00239,0,6,0.28,3.7
CUST00240,0,4,0.76,4.5
CUST00241,0,11,0.49,5.0
CUST00242,0,5,0.73,4.7
CUST00243,1,9,0.32,3.8
CUST00244,0,2,0.0,4.5
CUST00245,0,4,0.3,3.5
CUST00246,1,8,0.39,4.7
CUST00247,0,1,0.21,3.6
CUST00248,0,4,0.21,3.0
CUST00249,2,10,0.66,5.0
CUST00250,1,3,0.47,3.8
CUST00251,1,4,0.35,4.6
CUST00252,1,9,0.42,4.7
CUST00253,1,11,0.53,5.0
CUST00254,1,0,0.19,3.0
CUST00255,0,2,0.06,3.8
CUST00256,0,11,0.43,4.2
CUST00257,0,2,0.26,3.8
CUST00258,0,4,0.35,4.7
CUST00259,0,5,0.23,4.8
CUST00260,1,5,0.17,4.5
CUST00261,0,3,0.39,2.4
CUST00262,0,3,0.29,3.7
CUST00263,1,7,0.66,3.8
CUST00264,1,2,0.32,3.4
CUST00265,1,15,0.66,4.7
CUST00266,0,15,0.45,4.5
CUST00267,0,7,0.34,4.2
CUST00268,0,2,0.0,3.9
CUST00269,0,15,0.76,4.7
CUST00270,1,0,0.3,3.6
CUST00271,0,4,0.43,4.0
CUST00272,0,14,0.63,4.6
CUST00273,0,3,0.44,3.4
CUST00274,1,3,0.61,4.0
CUST00275,1,0,0.15,3.1
CUST00276,0,3,0.32,4.5
CUST00277,0,2,0.16,3.7
CUST00278,0,0,0.23,4.6
CUST00279,0,0,0.13,4.8
CUST00280,0,0,0.21,3.9
CUST00281,0,3,0.41,4.0
CUST00282,1,4,0.33,3.6
CUST00283,0,12,0.51,5.0
CUST00284,0,13,0.38,3.5
CUST00285,0,12,0.53,4.7
CUST00286,0,5,0.56,3.0
CUST00287,0,4,0.41,4.4
CUST00288,2,4,0.3,3.1
CUST00289,1,14,0.49,4.9
CUST00290,0,2,0.13,4.0
CUST00291,0,13,0.83,4.6
CUST00292,0,6,0.0,3.4
CUST00293,0,5,0.4,3.1
CUST00294,0,4,0.37,2.6
CUST00295,1,1,0.0,4.5
CUST00296,2,12,0.6,3.3
CUST00297,2,5,0.43,3.6
CUST00298,1,5,0.59,3.0
CUST00299,0,11,0.34,5.0
CUST00300,1,5,0.09,4.3
CUST00301,2,6,0.5,4.2
CUST00302,0,4,0.49,3.8
CUST00303,1,3,0.32,4.7
CUST00304,1,2,0.48,4.1
CUST00305,1,0,0.24,3.2
CUST00306,2,4,0.2,3.9
CUST00307,0,9,0.62,4.5
CUST00308,0,6,0.28,4.1
CUST00309,0,0,0.07,4.0
CUST00310,0,0,0.25,1.5
CUST00311,1,4,0.58,2.9
CUST00312,1,5,0.53,3.8
CUST00313,0,11,0.42,5.0
CUST00314,0,20,0.58,4.5
CUST00315,0,6,0.48,4.3
CUST00316,0,2,0.41,4.3
CUST00317,0,8,0.42,4.4
CUST00318,0,1,0.26,3.3
CUST00319,1,0,0.24,3.0
CUST00320,1,4,0.7,4.3
CUST00321,0,2,0.36,2.9
CUST00322,1,2,0.47,4.9
CUST00323,1,0,0.08,2.3
CUST00324,0,8,0.43,4.2
CUST00325,0,6,0.3,4.1
CUST00326,1,8,0.24,3.6
CUST00327,1,7,0.55,5.0
CUST00328,0,3,0.22,5.0
CUST00329,0,8,0.27,4.2
CUST00330,0,9,0.39,5.0
CUST00331,0,2,0.23,4.0
CUST00332,3,0,0.13,4.4
CUST00333,0,6,0.24,3.9
CUST00334,1,3,0.37,4.9
CUST00335,0,16,0.7,4.2
CUST00336,2,5,0.19,2.0
CUST00337,0,0,0.16,3.7
CUST00338,1,1,0.7,3.2
CUST00339,0,12,0.38,5.0
CUST00340,0,0,0.21,4.6
CUST00341,0,0,0.15,1.9
CUST00342,1,9,0.66,5.0
CUST00343,0,5,0.59,4.2
CUST00344,0,10,0.5,4.4
CUST00345,0,3,0.48,4.0
CUST00346,1,5,0.25,3.2
CUST00347,0,1,0.15,4.0
CUST00348,0,7,0.45,3.1
CUST00349,2,2,0.46,3.2
CUST00350,3,1,0.35,4.5
CUST00351,1,0,0.2,3.4
CUST00352,0,2,0.69,4.5
CUST00353,0,6,0.56,4.4
CUST00354,0,8,0.57,3.8
CUST00355,1,6,0.32,3.8
CUST00356,1,4,0.15,3.1
CUST00357,0,2,0.0,4.6
CUST00358,2,4,0.34,3.0
CUST00359,3,3,0.24,3.9
CUST00360,1,8,0.2,4.6
CUST00361,0,7,0.65,5.0
CUST00362,0,9,0.76,4.9
CUST00363,0,2,0.47,3.9
CUST00364,2,0,0.18,3.5
CUST00365,0,20,0.65,4.4
CUST00366,3,3,0.38,4.2
CUST00367,0,2,0.35,2.8
CUST00368,0,12,0.56,4.4
CUST00369,0,0,0.27,2.8
CUST00370,0,3,0.47,3.7
CUST00371,0,5,0.39,3.3
CUST00372,2,5,0.7,2.9
CUST00373,0,5,0.44,4.8
CUST00374,0,0,0.0,2.3
CUST00375,0,7,0.41,3.5
CUST00376,1,0,0.25,2.2
CUST00377,0,1,0.27,4.5
CUST00378,1,3,0.45,4.0
CUST00379,0,2,0.1,2.7
CUST00380,0,2,0.4,3.4
CUST00381,0,10,0.46,5.0
CUST00382,0,6,0.22,3.9
CUST00383,0,13,0.23,4.5
CUST00384,0,4,0.42,3.9
CUST00385,0,15,0.64,4.1
CUST00386,0,1,0.44,3.8
CUST00387,1,3,0.31,2.4
CUST00388,0,10,0.3,3.9
CUST00389,0,10,0.45,4.7
CUST00390,1,5,0.56,3.1
CUST00391,0,3,0.47,5.0
CUST00392,0,8,0.42,4.6
CUST00393,1,8,0.24,4.9
CUST00394,1,0,0.02,4.7
CUST00395,0,11,0.51,2.9
CUST00396,0,13,0.56,4.3
CUST00397,0,14,0.49,4.8
CUST00398,0,2,0.2,2.9
CUST00399,1,3,0.22,3.8
CUST00400,0,7,0.39,3.3
CUST00401,0,2,0.09,3.6
CUST00402,1,0,0.1,3.4
CUST00403,2,9,0.68,4.4
CUST00404,1,2,0.46,4.0
CUST00405,0,7,0.06,3.6
CUST00406,0,6,0.2,4.9
CUST00407,0,13,0.58,4.6
CUST00408,0,0,0.0,4.0
CUST00409,2,2,0.12,4.9
CUST00410,0,9,0.05,3.9
CUST00411,1,0,0.08,2.8
CUST00412,1,5,0.33,3.0
CUST00413,0,0,0.49,3.6
CUST00414,1,0,0.57,3.5
CUST00415,0,4,0.57,3.8
CUST00416,0,3,0.35,4.1
CUST00417,0,16,0.5,5.0
CUST00418,2,6,0.55,4.2
CUST00419,0,3,0.52,3.6
CUST00420,0,13,0.61,4.9
CUST00421,0,5,0.46,2.9
CUST00422,1,3,0.46,4.9
CUST00423,0,4,0.22,3.5
CUST00424,0,4,0.29,3.2
CUST00425,2,5,0.21,4.6
CUST00426,0,12,0.51,5.0
CUST00427,0,17,0.29,4.7
CUST00428,2,0,0.19,2.1
CUST00429,0,2,0.21,3.6
CUST00430,0,4,0.37,2.5
CUST00431,1,0,0.29,3.6
CUST00432,1,5,0.55,4.1
CUST00433,0,14,0.53,5.0
CUST00434,0,6,0.91,3.7
CUST00435,1,4,0.53,3.9
CUST00436,0,3,0.16,5.0
CUST00437,0,3,0.35,4.8
CUST00438,2,0,0.35,3.7
CUST00439,1,2,0.42,4.5
CUST00440,0,5,0.33,3.2
CUST00441,0,0,0.11,3.9
CUST00442,0,6,0.37,5.0
CUST00443,0,1,0.55,3.4
CUST00444,2,4,0.3,2.1
CUST00445,2,7,0.38,4.7
CUST00446,1,2,0.44,3.4
CUST00447,2,1,0.21,2.5
CUST00448,2,0,0.31,3.5
CUST00449,0,3,0.28,3.6
CUST00450,1,1,0.34,3.3
CUST00451,2,5,0.47,4.2
CUST00452,0,9,0.35,4.6
CUST00453,1,8,0.35,4.6
CUST00454,1,3,0.45,4.2
CUST00455,0,2,0.35,5.0
CUST00456,0,11,0.47,3.9
CUST00457,0,4,0.35,4.5
CUST00458,1,1,0.38,4.3
CUST00459,2,0,0.35,3.0
CUST00460,1,6,0.22,4.2
CUST00461,0,8,0.45,5.0
CUST00462,0,4,0.52,3.9
CUST00463,0,2,0.48,3.7
CUST00464,0,6,0.19,4.1
CUST00465,2,0,0.4,4.8
CUST00466,0,5,0.46,3.7
CUST00467,2,9,0.33,4.0
CUST00468,1,0,0.37,3.9
CUST00469,0,3,0.19,4.1
CUST00470,1,11,0.42,5.0
CUST00471,1,1,0.36,3.7
CUST00472,0,7,0.2,4.3
CUST00473,1,1,0.16,3.1
CUST00474,1,2,0.44,3.8
CUST00475,0,0,0.41,4.1
CUST00476,0,1,0.29,3.5
CUST00477,1,2,0.22,3.7
CUST00478,4,8,0.54,3.5
CUST00479,1,6,0.39,3.3
CUST00480,0,12,0.46,4.3
CUST00481,0,0,0.37,3.5
CUST00482,0,1,0.38,4.7
CUST00483,0,2,0.31,4.7
CUST00484,1,6,0.53,5.0
CUST00485,0,6,0.32,4.9
CUST00486,1,4,0.46,2.9
CUST00487,0,20,0.46,4.1
CUST00488,1,0,0.09,3.6
CUST00489,2,1,0.0,1.8
CUST00490,0,6,0.36,2.8
CUST00491,1,3,0.46,3.7
CUST00492,1,1,0.05,3.8
CUST00493,0,13,0.44,4.5
CUST00494,0,14,0.57,3.9
CUST00495,1,2,0.34,4.0
CUST00496,1,0,0.31,4.4
CUST00497,1,3,0.38,4.4
CUST00498,0,1,0.13,3.2
CUST00499,0,13,0.39,3.9
CUST00500,1,1,0.2,5.0
CUST00501,0,8,0.27,4.8
CUST00502,0,9,0.35,4.0
CUST00503,0,3,0.13,4.0
CUST00504,3,0,0.23,3.0
CUST00505,1,0,0.25,2.8
CUST00506,1,7,0.09,4.2
CUST00507,0,0,0.34,3.1
CUST00508,0,9,0.59,4.4
CUST00509,0,15,0.36,4.7
CUST00510,1,0,0.16,3.8
CUST00511,0,16,0.55,5.0
CUST00512,1,1,0.3,4.3
CUST00513,0,5,0.51,4.9
CUST00514,0,5,0.27,3.5
CUST00515,1,9,0.58,4.8
CUST00516,0,4,0.21,3.6
CUST00517,0,4,0.66,3.7
CUST00518,0,3,0.44,3.7
CUST00519,1,2,0.44,3.9
CUST00520,1,15,0.34,4.3
CUST00521,1,13,0.44,4.5
CUST00522,1,2,0.1,3.8
CUST00523,0,1,0.09,3.7
CUST00524,0,2,0.7,4.1
CUST00525,3,1,0.34,3.0
CUST00526,1,2,0.3,4.1
CUST00527,2,0,0.18,3.7
CUST00528,0,9,0.4,2.4
CUST00529,0,3,0.4,5.0
CUST00530,1,7,0.35,3.7
CUST00531,0,2,0.13,3.4
CUST00532,0,7,0.44,3.9
CUST00533,1,8,0.5,3.8
CUST00534,0,8,0.58,4.5
CUST00535,0,2,0.39,3.8
CUST00536,0,5,0.44,3.5
CUST00537,1,0,0.06,2.6
CUST00538,0,3,0.42,2.5
CUST00539,0,7,0.53,3.8
CUST00540,0,3,0.33,4.4
CUST00541,0,3,0.39,3.7
CUST00542,0,11,0.25,5.0
CUST00543,0,4,0.15,4.3
CUST00544,1,13,0.52,4.6
CUST00545,2,5,0.59,3.9
CUST00546,1,2,0.52,5.0
CUST00547,2,1,0.3,3.8
CUST00548,0,12,0.56,2.9
CUST00549,0,15,0.52,5.0
CUST00550,0,7,0.45,2.7
CUST00551,1,4,0.34,3.8
CUST00552,1,1,0.39,4.4
CUST00553,0,12,0.5,4.0
CUST00554,0,4,0.35,3.4
CUST00555,1,1,0.31,2.2
CUST00556,0,12,0.57,4.9
CUST00557,0,0,0.02,3.8
CUST00558,1,5,0.51,2.5
CUST00559,0,8,0.22,4.4
CUST00560,1,0,0.25,4.0
CUST00561,0,7,0.29,4.2
CUST00562,2,0,0.37,3.7
CUST00563,1,0,0.1,3.6
CUST00564,0,10,0.56,4.3
CUST00565,0,3,0.16,5.0
CUST00566,0,1,0.37,3.4
CUST00567,0,2,0.27,3.6
CUST00568,2,3,0.25,3.3
CUST00569,0,13,0.37,4.9
CUST00570,3,1,0.3,3.7
CUST00571,1,11,0.36,5.0
CUST00572,2,0,0.03,4.0
CUST00573,1,3,0.24,3.7
CUST00574,1,7,0.72,3.9
CUST00575,1,1,0.2,3.7
CUST00576,2,6,0.18,4.5
CUST00577,0,3,0.43,4.1
CUST00578,1,4,0.3,4.0
CUST00579,1,7,0.48,3.2
CUST00580,2,7,0.51,5.0
CUST00581,0,2,0.37,3.8
CUST00582,0,3,0.28,3.9
CUST00583,0,2,0.28,3.6
CUST00584,3,4,0.21,2.9
CUST00585,0,3,0.1,3.5
CUST00586,0,3,0.6,3.2
CUST00587,2,4,0.38,3.6
CUST00588,0,2,0.21,3.2
CUST00589,0,2,0.23,4.1
CUST00590,0,6,0.51,4.0
CUST00591,1,18,0.68,4.1
CUST00592,0,3,0.38,3.8
CUST00593,2,1,0.32,3.3
CUST00594,0,5,0.36,3.7
CUST00595,0,0,0.0,2.5
CUST00596,0,7,0.36,4.5
CUST00597,0,9,0.13,3.5
CUST00598,0,4,0.58,3.7
CUST00599,0,7,0.29,4.0
CUST00600,0,8,0.42,4.5
CUST00601,0,13,0.58,4.8
CUST00602,0,10,0.7,5.0
CUST00603,1,4,0.24,3.5
CUST00604,1,4,0.5,3.0
CUST00605,0,6,0.38,3.1
CUST00606,0,5,0.45,5.0
CUST00607,1,1,0.48,4.1
CUST00608,0,6,0.27,4.3
CUST00609,1,12,0.5,4.4
CUST00610,1,5,0.41,3.0
CUST00611,1,11,0.57,3.3
CUST00612,0,6,0.36,4.9
CUST00613,1,8,0.63,3.6
CUST00614,0,6,0.5,4.5
CUST00615,0,7,0.36,3.2
CUST00616,0,14,0.65,5.0
CUST00617,1,6,0.45,5.0
CUST00618,0,2,0.47,3.5
CUST00619,0,0,0.28,5.0
CUST00620,1,1,0.47,4.1
CUST00621,0,4,0.21,4.8
CUST00622,0,9,0.52,3.5
CUST00623,0,0,0.54,3.6
CUST00624,0,0,0.02,3.0
CUST00625,0,16,0.3,3.8
CUST00626,2,9,0.64,5.0
CUST00627,1,7,0.17,3.1
CUST00628,0,0,0.0,2.5
CUST00629,0,2,0.54,3.3
CUST00630,1,3,0.32,5.0
CUST00631,0,8,0.45,5.0
CUST00632,0,1,0.09,3.7
CUST00633,1,3,0.44,3.2
CUST00634,0,2,0.38,4.1
CUST00635,1,2,0.18,4.0
CUST00636,0,14,0.33,5.0
CUST00637,1,4,0.21,4.0
CUST00638,2,3,0.55,3.4
CUST00639,0,1,0.31,3.6
CUST00640,0,13,0.38,2.7
CUST00641,0,0,0.27,3.9
CUST00642,0,10,0.28,3.6
CUST00643,1,4,0.63,4.4
CUST00644,1,6,0.61,3.6
CUST00645,0,5,0.25,2.1
CUST00646,1,16,0.54,4.6
CUST00647,1,4,0.3,3.6
CUST00648,0,0,0.22,4.5
CUST00649,2,4,0.1,4.3
CUST00650,1,3,0.52,3.8
CUST00651,0,5,0.51,4.4
CUST00652,0,7,0.6,5.0
CUST00653,0,15,0.49,4.8
CUST00654,1,4,0.25,2.8
CUST00655,0,7,0.57,4.7
CUST00656,2,0,0.44,4.2
CUST00657,0,3,0.23,3.1
CUST00658,1,4,0.41,5.0
CUST00659,0,6,0.31,3.5
CUST00660,1,1,0.16,3.9
CUST00661,0,7,0.6,4.5
CUST00662,0,0,0.22,2.8
CUST00663,1,2,0.44,3.4
CUST00664,1,4,0.32,3.3
CUST00665,0,8,0.4,5.0
CUST00666,0,0,0.35,3.0
CUST00667,0,1,0.44,3.5
CUST00668,0,1,0.41,5.0
CUST00669,3,5,0.34,4.2
CUST00670,3,3,0.45,4.7
CUST00671,0,11,0.67,4.3
CUST00672,0,0,0.09,3.5
CUST00673,0,0,0.14,3.5
CUST00674,2,16,0.36,5.0
CUST00675,1,9,0.63,4.5
CUST00676,1,1,0.57,4.3
CUST00677,1,1,0.17,3.1
CUST00678,0,0,0.25,4.3
CUST00679,2,9,0.69,4.9
CUST00680,0,9,0.43,4.2
CUST00681,0,3,0.33,3.2
CUST00682,0,0,0.23,3.4
CUST00683,1,0,0.11,4.2
CUST00684,0,1,0.19,3.9
CUST00685,2,1,0.3,3.4
CUST00686,0,0,0.18,3.4
CUST00687,1,2,0.25,3.5
CUST00688,0,3,0.28,4.2
CUST00689,0,0,0.15,3.2
CUST00690,1,4,0.2,2.6
CUST00691,2,4,0.32,4.6
CUST00692,0,12,0.32,5.0
CUST00693,0,7,0.14,3.5
CUST00694,0,2,0.36,4.2
CUST00695,0,4,0.25,4.0
CUST00696,2,0,0.19,3.8
CUST00697,0,1,0.24,3.4
CUST00698,1,10,0.57,4.6
CUST00699,1,13,0.39,4.4
CUST00700,1,3,0.43,4.2
CUST00701,0,7,0.48,5.0
CUST00702,3,5,0.16,5.0
CUST00703,2,0,0.64,4.1
CUST00704,0,0,0.01,2.3
CUST00705,1,0,0.13,3.5
CUST00706,0,11,0.05,4.0
CUST00707,0,3,0.39,4.2
CUST00708,1,7,0.35,4.8
CUST00709,1,10,0.67,4.6
CUST00710,0,7,0.32,4.3
CUST00711,0,5,0.49,5.0
CUST00712,0,4,0.47,3.8
CUST00713,1,3,0.24,4.1
CUST00714,1,0,0.22,3.7
CUST00715,0,0,0.19,2.5
CUST00716,1,12,0.63,3.8
CUST00717,1,3,0.21,4.3
CUST00718,0,13,0.52,4.0
CUST00719,0,8,0.46,4.2
CUST00720,1,2,0.47,3.2
CUST00721,0,2,0.4,3.0
CUST00722,0,7,0.59,4.7
CUST00723,0,0,0.05,3.5
CUST00724,0,8,0.21,3.2
CUST00725,1,4,0.33,3.4
CUST00726,0,8,0.28,4.3
CUST00727,1,4,0.65,4.2
CUST00728,0,9,0.6,3.5
CUST00729,1,1,0.23,4.4
CUST00730,2,6,0.33,3.3
CUST00731,1,2,0.49,3.3
CUST00732,1,5,0.71,2.7
CUST00733,0,1,0.22,4.4
CUST00734,1,2,0.26,4.0
CUST00735,0,7,0.18,4.2
CUST00736,1,11,0.42,4.6
CUST00737,0,3,0.24,4.0
CUST00738,0,12,0.77,5.0
CUST00739,0,5,0.28,4.7
CUST00740,0,2,0.27,2.8
CUST00741,2,2,0.2,3.4
CUST00742,0,4,0.54,3.0
CUST00743,0,1,0.55,3.9
CUST00744,1,5,0.21,5.0
CUST00745,1,5,0.3,4.3
CUST00746,0,8,0.41,3.9
CUST00747,0,3,0.28,4.8
CUST00748,0,1,0.28,3.5
CUST00749,1,6,0.42,4.5
CUST00750,0,2,0.25,2.3
CUST00751,1,4,0.2,4.0
CUST00752,1,5,0.47,4.7
CUST00753,0,0,0.33,4.0
CUST00754,1,8,0.45,4.0
CUST00755,1,7,0.53,4.4
CUST00756,0,1,0.59,3.9
CUST00757,1,3,0.68,5.0
CUST00758,0,1,0.25,2.7
CUST00759,2,5,0.54,3.8
CUST00760,0,1,0.31,3.7
CUST00761,0,1,0.24,4.2
CUST00762,0,1,0.28,3.8
CUST00763,0,3,0.25,3.4
CUST00764,1,0,0.0,3.5
CUST00765,3,0,0.42,3.5
CUST00766,0,2,0.0,3.3
CUST00767,0,12,0.38,5.0
CUST00768,1,2,0.25,3.6
CUST00769,2,6,0.3,3.9
CUST00770,2,4,0.44,4.2
CUST00771,0,13,0.55,3.7
CUST00772,0,6,0.51,4.2
CUST00773,0,3,0.31,3.0
